id,book_times
11,4
20,9
22,5
23,14
28,4
29,5
32,20
38,33
39,100
47,4
48,25
56,6
60,4
62,1
64,92
66,69
67,115
77,7
82,5
83,35
91,16
92,4
96,34
97,34
98,3
99,25
104,12
108,31
109,47
116,40
117,26
118,6
119,5
136,6
137,4
142,34
143,15
146,15
147,2
154,3
158,10
159,50
162,74
163,6
166,117
167,61
184,12
185,10
186,59
187,46
191,3
198,2
200,7
202,11
203,22
204,11
205,81
213,2
214,3
215,82
216,6
218,78
219,25
220,3
224,2
229,13
230,7
231,16
232,4
233,4
236,2
238,80
239,16
245,1
250,3
254,13
259,6
260,6
266,6
267,24
268,26
269,49
270,12
272,110
273,8
275,8
276,7
277,6
278,21
279,25
282,24
290,107
291,120
294,5
295,46
296,26
297,30
298,97
299,49
304,3
308,39
310,4
311,14
318,20
320,138
321,151
322,9
323,16
324,14
325,16
330,21
344,5
345,6
346,27
347,36
348,3
352,6
353,28
354,55
355,33
363,3
366,2
372,4
376,45
384,15
386,22
387,2
388,7
389,2
390,12
391,4
394,7
395,5
396,2
398,11
399,18
400,22
401,20
404,5
408,11
409,22
412,38
413,32
417,4
418,38
419,17
421,4
424,117
425,61
426,54
427,31
430,10
438,44
439,2
440,33
441,10
442,55
443,43
444,12
445,1
446,4
447,2
448,13
449,23
450,11
451,10
452,85
453,80
454,135
455,58
460,38
461,34
462,97
463,54
466,105
467,118
468,7
469,8
470,21
471,8
474,8
475,12
476,18
477,26
478,69
479,76
480,135
481,48
484,23
485,14
486,14
487,13
488,4
497,9
498,68
499,158
500,162
501,139
502,1
503,1
504,29
505,2
512,28
513,16
522,7
523,4
524,16
526,39
527,17
528,5
532,3
534,7
536,7
544,2
551,6
552,53
553,58
558,4
563,12
564,4
566,29
567,5
570,72
571,32
572,1
573,8
574,5
576,9
577,14
578,15
579,2
580,4
582,4
584,12
586,17
587,18
589,6
592,2
593,10
595,4
597,5
598,16
599,21
602,7
603,5
604,1
606,1
607,4
608,36
609,83
610,6
611,29
612,55
613,26
616,2
617,4
618,18
619,27
620,27
621,31
624,97
625,37
626,15
627,12
630,119
631,85
636,12
637,9
642,146
643,315
646,18
647,5
650,12
651,43
654,11
655,12
659,4
662,12
663,17
664,39
665,16
668,34
674,7
675,2
678,54
679,5
680,10
681,24
682,96
683,42
684,10
685,16
686,29
687,6
692,37
693,71
694,44
695,125
696,35
697,26
706,7
707,21
708,10
709,14
710,10
712,57
713,41
718,16
719,35
731,2
732,2
733,2
736,6
737,9
740,3
741,6
742,18
743,7
744,56
745,14
746,5
747,5
748,13
749,9
750,149
751,49
754,113
755,103
756,244
757,204
762,5
766,7
767,10
770,10
774,25
775,14
786,81
787,34
788,9
789,4
790,12
796,10
797,12
798,44
799,19
800,11
801,30
802,54
803,17
804,12
805,8
808,2
809,2
811,27
816,16
817,3
820,26
821,8
822,21
824,30
826,56
827,70
830,45
831,40
832,15
833,24
834,29
835,42
841,10
842,132
843,221
845,2
846,105
847,80
848,116
849,84
850,37
851,27
852,23
853,25
854,47
855,113
858,1
860,4
861,4
864,13
865,8
868,12
869,2
878,30
879,95
882,21
883,52
894,2
897,9
898,4
899,1
900,3
901,3
902,14
903,2
908,88
909,113
914,28
915,8
916,57
917,34
922,30
923,21
924,37
925,39
928,2
929,17
932,10
934,76
935,125
936,18
937,8
940,5
941,7
942,3
943,32
944,23
945,81
948,19
949,40
950,5
952,4
953,2
954,27
955,16
956,2
957,13
958,15
959,48
961,5
966,65
967,37
970,5
971,8
974,9
975,20
978,30
980,21
981,17
982,7
983,10
984,130
985,103
988,111
989,29
990,6
991,22
992,22
993,15
994,13
995,12
996,3
997,2
999,2
1000,91
1001,43
1002,86
1003,46
1006,7
1007,21
1012,14
1013,12
1016,23
1017,16
1024,89
1025,83
1026,214
1027,93
1030,12
1036,12
1037,3
1038,24
1039,21
1044,1
1045,1
1047,22
1048,6
1049,82
1050,12
1051,5
1052,14
1053,1
1054,3
1058,8
1059,24
1060,4
1061,16
1066,32
1067,2
1068,26
1069,17
1078,7
1079,22
1080,141
1081,241
1084,13
1085,10
1092,25
1093,44
1096,15
