id,consume,consumesum,consumeavg,consumemax,remaindersum,remainderavg,remaindermax,s_avg,s_max,c_count,c_avg,c_max
0,628,4997.56,7.8331661442,200.0,42895.96,67.2350470219,228.98,4.94511450382,14.0,97.0,8.65649484536,30.0
1,687,6182.69,8.96042028986,300.0,70664.31,102.412043478,302.41,5.83560606061,26.0,68.0,7.56323529412,33.3
2,915,4966.65,5.38098591549,300.0,46461.5,50.3374864572,300.0,5.345,30.0,103.0,8.05776699029,30.0
3,58,42.4,0.731034482759,3.6,1186.93,20.4643103448,38.8,,,,,
8,1330,11472.37,8.62584210526,200.0,117836.74,88.5990526316,231.26,6.14523809524,14.0,2.0,5.0,9.0
9,1618,14502.91,8.96347960445,200.0,154265.92,95.3435846724,237.96,8.51838565022,20.4,,,
10,847,6028.74,7.08430082256,200.0,52933.27,62.2012573443,210.74,4.60897560976,13.6,22.0,11.0363636364,100.0
11,892,5976.2,6.69977578475,200.0,72694.25,81.4957959641,248.55,5.46557377049,10.0,29.0,3.71379310345,12.6
16,504,2974.56,5.9019047619,200.0,26225.25,52.0342261905,200.07,6.865625,14.0,4.0,3.5,5.5
17,85,495.85,5.83352941176,200.0,6462.89,76.034,185.63,,,1.0,14.8,14.8
19,270,3331.06,12.2016849817,221.5,19369.99,70.9523443223,235.76,4.27758333333,10.0,65.0,9.664,30.0
20,663,6393.73,9.58580209895,200.0,35565.91,53.3222038981,206.32,5.35533596838,30.0,64.0,10.621875,30.0
21,261,3165.76,11.9915151515,100.0,15508.18,58.7431060606,137.22,6.28838383838,30.0,39.0,9.13333333333,33.0
22,923,11328.89,12.2210248112,600.0,243511.61,262.687820928,619.62,5.58976363636,17.7,41.0,11.4219512195,30.0
23,1020,10959.76,10.7238356164,600.0,226877.35,221.993493151,600.55,6.55724206349,25.6,27.0,11.6703703704,28.7
28,842,6401.58,7.5135915493,100.0,39622.75,46.5055751174,117.37,3.60747826087,15.0,128.0,6.78984375,30.0
29,485,3845.78,7.7224497992,300.0,44678.31,89.7154819277,306.15,4.14013043478,14.0,44.0,6.22272727273,20.5
