id,dorm_time
0,186
1,312
2,198
10,135
19,266
20,13
22,409
23,438
28,207
29,52
32,179
33,21
34,216
35,416
36,311
37,437
38,209
39,190
46,352
47,232
48,414
49,4
57,16
60,284
61,321
64,149
65,249
66,323
67,303
70,158
71,3
72,57
73,16
74,244
75,264
76,320
77,212
82,49
83,68
88,402
89,1
90,21
91,1
92,340
93,334
96,439
97,388
98,198
99,347
100,149
101,267
102,219
103,160
104,199
105,346
108,219
110,124
143,237
158,433
160,185
162,182
166,270
183,2
184,208
186,383
190,28
200,139
212,299
213,220
214,445
215,401
216,362
217,227
218,209
219,359
220,35
224,159
225,66
228,232
229,133
230,214
231,308
232,146
233,166
234,528
236,241
237,246
238,426
239,206
244,174
245,17
250,158
251,46
254,163
255,159
258,207
259,227
260,53
261,33
266,80
268,362
269,276
270,171
271,178
272,52
273,102
274,45
276,367
277,462
278,363
279,361
282,298
283,217
286,42
288,368
289,262
290,19
291,44
294,421
295,532
296,376
297,299
298,455
300,380
301,458
304,490
305,604
306,16
307,7
308,305
309,262
310,199
311,24
312,365
313,3
318,76
319,73
320,363
321,212
322,316
323,466
324,344
325,257
328,104
329,96
330,290
331,155
334,116
335,219
344,96
345,173
346,159
347,30
348,297
349,343
352,187
353,164
354,455
355,315
358,2
362,200
366,10
368,123
369,71
376,485
384,80
386,185
387,96
388,116
389,83
412,179
413,302
416,227
417,31
418,489
419,429
420,330
421,205
424,529
425,329
426,505
427,307
430,192
431,219
432,118
433,108
438,104
439,389
440,134
441,1
442,80
443,149
444,442
445,429
446,325
447,227
448,568
449,24
450,547
451,445
452,356
453,415
454,395
455,408
460,182
461,187
462,1
463,163
466,355
467,478
468,283
469,309
470,515
471,437
474,406
475,516
476,241
477,250
478,310
479,450
480,330
481,399
484,421
485,355
486,123
487,211
488,325
489,228
496,79
497,165
498,167
499,225
500,305
501,154
503,10
508,97
509,153
510,296
511,313
512,428
513,384
522,304
523,332
524,95
525,111
526,328
527,345
528,453
529,444
532,228
533,255
534,188
535,298
536,214
537,221
544,434
545,430
550,572
551,364
552,500
553,303
558,144
559,71
562,226
563,8
564,74
565,11
566,320
567,305
570,420
571,317
572,237
573,222
574,164
575,224
576,63
577,269
578,180
579,106
580,329
581,369
582,240
583,131
584,367
585,367
586,154
587,324
588,164
589,228
592,120
593,142
594,330
595,227
596,133
597,190
598,309
599,295
602,222
603,327
604,273
605,358
606,228
607,295
608,110
609,7
610,177
611,270
612,303
613,325
614,115
615,110
616,135
618,229
619,84
620,224
621,280
624,276
625,312
626,213
627,199
630,304
631,99
634,166
635,94
636,160
637,172
640,34
641,25
642,473
643,306
646,403
647,535
648,362
649,94
