id,lib_time
0,16
1,2
2,1
10,4
19,19
20,14
21,5
22,19
23,14
28,63
29,143
32,18
34,7
35,9
36,12
37,48
38,33
39,56
46,296
47,936
48,332
49,255
56,7
57,12
60,9
61,249
62,5
64,38
65,14
66,14
67,14
70,58
71,38
74,54
75,69
76,2
77,10
82,38
83,52
88,42
90,2
91,44
92,7
93,12
96,41
97,330
98,27
99,290
100,77
101,16
102,3
104,190
105,127
108,51
109,4
110,46
116,2
117,5
118,1
140,1
141,2
142,53
143,125
146,5
147,20
149,3
153,4
158,142
159,11
160,13
162,183
163,2
166,321
167,7
178,2
179,13
182,1
184,168
185,8
186,161
187,8
190,29
191,1
193,2
194,2
198,5
199,12
200,15
201,8
203,2
204,2
212,305
213,80
214,328
215,688
216,102
217,3
218,292
219,75
220,8
221,5
224,1
225,30
228,20
229,225
230,111
231,184
232,40
233,61
234,15
235,16
236,8
238,302
239,365
244,90
245,230
250,78
251,6
254,11
258,18
259,19
260,35
261,130
266,99
267,35
268,28
269,26
270,11
271,19
272,116
273,118
274,70
275,204
276,11
277,27
278,102
279,97
282,82
283,21
286,6
287,25
288,1
290,72
291,268
294,61
295,77
296,26
297,636
298,109
299,703
300,337
301,170
304,22
305,9
306,35
307,152
308,170
309,309
310,4
311,13
312,17
313,4
318,102
319,13
320,74
321,196
322,8
323,17
324,14
325,72
328,10
329,34
330,31
331,28
334,16
335,10
344,27
345,321
346,361
347,756
348,4
349,3
352,8
353,30
354,486
355,774
366,4
367,4
373,3
376,14
377,2
384,53
385,40
386,10
387,9
388,64
389,73
399,9
400,8
401,20
412,101
413,143
416,59
417,64
418,33
419,67
420,4
421,40
424,160
425,120
426,137
427,134
430,6
431,6
432,4
433,2
438,94
439,116
440,72
441,80
442,23
443,29
444,44
445,20
446,60
447,39
448,84
449,55
450,24
451,22
452,146
453,300
454,257
455,407
460,45
461,32
462,47
463,170
466,188
467,191
468,6
469,34
470,67
471,52
474,12
475,38
476,70
477,69
478,105
479,101
480,71
481,120
484,24
485,23
486,79
487,283
488,5
489,66
496,154
497,142
498,218
499,370
500,138
501,181
502,77
503,36
505,13
508,3
509,17
511,2
512,91
513,81
522,95
523,339
524,14
525,42
526,142
527,216
528,6
532,21
533,40
534,7
535,80
544,6
545,4
550,69
551,227
552,63
553,250
558,133
559,271
562,1
563,70
564,84
565,259
566,138
567,487
570,184
571,317
572,82
573,24
574,6
575,4
576,93
577,62
578,87
579,105
580,10
581,57
582,28
583,13
584,18
585,62
586,262
587,386
588,4
589,104
592,14
593,75
594,27
595,123
596,148
597,373
598,67
599,91
602,177
603,633
604,92
605,97
606,18
607,23
608,154
609,425
610,28
611,210
612,25
613,23
614,3
615,2
616,13
617,90
618,230
619,276
620,78
621,220
624,263
625,106
626,72
627,205
630,165
631,121
634,16
635,36
636,13
637,85
640,2
641,87
642,489
643,773
646,75
647,648
648,51
649,789
650,147
651,827
654,41
655,271
658,48
659,39
662,14
663,22
664,187
665,300
668,126
669,101
674,59
675,17
678,165
679,95
680,183
681,203
682,181
683,456
684,116
685,315
686,148
687,519
690,6
691,55
692,67
693,31
694,273
695,460
696,242
697,922
706,223
707,312
708,95
709,27
710,48
711,44
712,444
713,866
714,6
715,38
718,247
719,253
729,17
730,54
731,41
732,90
733,4
734,1
735,44
736,217
737,14
738,40
739,23
740,426
741,370
742,41
743,62
744,179
745,503
746,65
747,167
748,115
749,65
750,224
751,131
754,88
755,311
756,264
757,667
758,6
759,23
762,6
763,23
766,19
767,176
770,17
771,16
772,11
773,2
774,9
775,9
776,1
786,304
787,250
788,84
789,32
790,61
791,452
796,15
797,538
798,303
799,471
800,145
801,217
802,231
803,138
804,159
805,147
808,10
809,14
810,107
811,184
816,6
817,65
820,107
821,79
822,194
823,207
824,248
826,362
827,590
830,146
831,200
832,60
833,298
834,393
835,1140
840,1
841,34
842,197
843,820
844,3
845,18
846,266
847,419
848,392
849,763
850,226
851,704
852,126
853,144
854,374
855,719
858,6
859,2
860,105
861,14
864,110
865,100
868,24
869,81
878,23
879,74
882,93
883,404
890,5
891,2
894,4
