stu_id,day,times
11,80602072,4
20,181207449,9
22,100655560,5
23,282105284,14
28,80560791,4
29,100704546,5
32,402807007,20
38,664559883,33
39,2014649691,100
47,80582868,4
48,503493149,25
56,120786310,6
60,80524916,4
62,20131223,1
64,1852890922,92
66,1389478723,69
67,2316894015,115
77,141055291,7
82,100656037,5
83,705179748,35
91,322274618,16
92,80524408,4
96,684521453,34
97,685113308,34
98,60402739,3
99,503629541,25
104,241571047,12
108,624256924,31
109,946639932,47
116,805506466,40
117,523770859,26
118,120844272,6
119,100753095,5
136,120813384,6
137,80602060,4
142,684646570,34
143,302239633,15
146,301964326,15
147,40282236,2
154,60411357,3
158,201404124,10
159,1007401834,50
162,1490115982,74
163,120847236,6
166,2355908621,117
167,1228983036,61
184,241619105,12
185,201505178,10
186,1188288848,59
187,926651257,46
191,60450966,3
198,40261810,2
200,140918289,7
202,221548354,11
203,443271076,22
204,221548622,11
205,1631969165,81
213,40282048,2
214,60411352,3
215,1652293934,82
216,120824554,6
218,1570812951,78
219,503705867,25
220,60393057,3
224,40281206,2
229,261833855,13
230,140964451,7
231,322257859,16
232,80543690,4
233,80563626,4
236,40261834,2
238,1610796161,80
239,322254594,16
245,20141024,1
250,60412249,3
254,261806176,13
259,120903490,6
260,120841428,6
266,120840696,6
267,483609654,24
268,523472014,26
269,987134879,49
270,241573870,12
272,2214916437,110
273,161164496,8
275,161128192,8
276,140973398,7
277,120865474,6
278,422909639,21
279,503562950,25
282,483356076,24
290,2154445435,107
291,2417736365,120
294,100700545,5
295,926914018,46
296,523493459,26
297,604484538,30
298,1953190407,97
299,987290072,49
304,60392728,3
308,785299326,39
310,80561480,4
311,282013888,14
318,402620164,20
320,2779143402,138
321,3041916517,151
322,181226275,9
323,322347685,16
324,281948117,14
325,322406613,16
330,422946528,21
344,100701899,5
345,120865508,6
346,543696819,27
347,725345973,36
348,60393030,3
352,120841956,6
353,564208164,28
354,1107478033,55
355,664946538,33
363,60451116,3
366,40280638,2
372,80561720,4
376,905894295,45
384,302101811,15
386,443093503,22
387,40281814,2
388,140945383,7
389,40281842,2
390,241684056,12
391,80601668,4
394,140945031,7
395,100705841,5
396,40281012,2
398,221542439,11
399,362548801,18
400,443092396,22
401,402850152,20
404,100683489,5
408,221496850,11
409,443224269,22
412,765139581,38
413,644722438,32
417,80582686,4
418,765216190,38
419,342481201,17
421,80600476,4
424,2356015534,117
425,1228989142,61
426,1087410273,54
427,624555820,31
430,201403792,10
438,886020054,44
439,40301224,2
440,664463146,33
441,201438973,10
442,1107619719,55
443,866299798,43
444,241649129,12
445,20150709,1
446,80542531,4
447,40282060,2
448,261790432,13
449,463383809,23
450,221508682,11
451,201464650,10
452,1711465969,85
453,1611680274,80
454,2718139984,135
455,1168434183,58
460,765199868,38
461,685076727,34
462,1952865686,97
463,1087989673,54
466,2114446248,105
467,2377257609,118
468,140955562,7
469,161176710,8
470,422903903,21
471,161128298,8
474,161125500,8
475,241748588,12
476,362519200,18
477,523824544,26
478,1389398573,69
479,1531153383,76
480,2718366278,135
481,966826448,48
484,463229174,23
485,282077679,14
486,281945031,14
487,261928091,13
488,80562844,4
497,181307933,9
498,1369335789,68
499,3183434414,158
500,3262136075,162
501,2800358464,139
502,20140105,1
503,20141216,1
504,583942370,29
505,40281806,2
512,563895943,28
513,322368150,16
522,140944584,7
523,80583442,4
524,322250748,16
526,785279811,39
527,342551772,17
528,100655560,5
532,60421426,3
534,140935185,7
536,140916328,7
544,40261820,2
551,120902894,6
552,1067157367,53
553,1168575986,58
558,80560834,4
563,241807712,12
564,80542654,4
566,583930528,29
567,100733993,5
570,1450096225,72
571,644700504,32
572,20130916,1
573,161175732,8
574,100654540,5
576,181260960,9
577,282066808,14
578,302077986,15
579,40300618,2
580,80543864,4
582,80524420,4
584,241639316,12
586,342246949,17
587,362702748,18
589,120902652,6
592,40261844,2
593,201503902,10
595,80602468,4
597,100705713,5
598,322161219,16
599,422962098,21
602,140935252,7
603,100714915,5
604,20130901,1
606,20130908,1
607,80601696,4
608,724875594,36
609,1672444776,83
610,120841356,6
611,584251452,29
612,1107530961,55
613,523913122,26
616,40262250,2
617,80602650,4
618,362500866,18
619,544014298,27
620,543750828,27
621,624643087,31
624,1953442679,97
625,745563160,37
626,302050149,15
627,241759504,12
630,2396504570,119
631,1712324179,85
636,241685080,12
637,181354462,9
642,2939890888,146
643,6346342219,315
646,362510287,18
647,100751940,5
650,241626857,12
651,866439075,43
654,221469765,11
655,241786738,12
659,80601224,4
662,241629600,12
663,342495125,17
664,785322982,39
665,322275641,16
668,684745160,34
674,140984949,7
675,40300624,2
678,1087413412,54
679,100704662,5
680,201310240,10
681,483540857,24
682,1933105084,96
683,846131239,42
684,201364676,10
685,322378583,16
686,583982199,29
687,120902306,6
692,745139326,37
693,1430326453,71
694,886099998,44
695,2518449919,125
696,704859025,35
697,523909603,26
706,140935321,7
707,423141939,21
708,201309743,10
709,282078531,14
710,201328036,10
712,1147870254,57
713,826002205,41
718,322173208,16
719,705234123,35
731,40282030,2
732,40280642,2
733,40300650,2
736,120841535,6
737,181351427,9
740,60393342,3
741,120902898,6
742,362462927,18
743,141014334,7
744,1127629030,56
745,282012173,14
746,100682811,5
747,100743190,5
748,261824285,13
749,181318084,9
750,3000133222,149
751,987305425,49
754,2275472763,113
755,2075133124,103
756,4913295919,244
757,4109916483,204
762,100664381,5
766,140935676,7
767,201458815,10
770,201336949,10
774,503274185,25
775,282104272,14
786,1631104693,81
787,685037303,34
788,181216220,9
789,80600412,4
790,241685942,12
796,201376688,10
797,241700870,12
798,885933392,44
799,382793214,19
800,221468728,11
801,604419952,30
802,1087394906,54
803,342501884,17
804,241683983,12
805,161184550,8
808,40261856,2
809,40282038,2
811,544064586,27
816,322213352,16
817,60423262,3
820,523475259,26
821,161204144,8
822,422912567,21
824,604155788,30
826,1127726943,56
827,1410357320,70
830,906062268,45
831,805787380,40
832,302096847,15
833,483595522,24
834,583987149,29
835,846107882,42
841,201495372,10
842,2658210829,132
843,4452692309,221
845,40300612,2
846,2114308888,105
847,1611585818,80
848,2335770327,116
849,1692234100,84
850,745128946,37
851,543940604,27
852,463106230,23
853,503735468,25
854,946487329,47
855,2276653815,113
858,20140319,1
860,80561830,4
861,80601456,4
864,261816664,13
865,161201692,8
868,241582639,12
869,40301436,2
878,604101687,30
879,1914222085,95
882,422788332,21
883,1047823809,52
894,40261812,2
897,181280671,9
898,80562844,4
899,20150831,1
900,60421310,3
901,60423469,3
902,281871168,14
903,40300846,2
908,1772205958,88
909,2276772552,113
914,563816786,28
915,161203387,8
916,1147648762,57
917,684998722,34
922,604078628,30
923,423072584,21
924,745110988,37
925,785827191,39
928,40262236,2
929,342539641,17
932,201311016,10
934,1530514814,76
935,2518363178,125
936,362482363,18
937,161203985,8
940,100664615,5
941,141034367,7
942,60420903,3
943,644812637,32
944,463196069,23
945,1631934583,81
948,382652485,19
949,805992931,40
950,100692035,5
952,80524038,4
953,40291142,2
954,543669636,27
955,322372790,16
956,40281228,2
957,261870642,13
958,302050584,15
959,967056182,48
961,100704773,5
966,1308998730,65
967,745471259,37
970,100682613,5
971,161204592,8
974,181245940,9
975,402961847,20
978,604077436,30
980,422882413,21
981,342530512,17
982,140973434,7
983,201448578,10
984,2617859022,130
985,2075190747,103
988,2235287650,111
989,584340179,29
990,120842350,6
991,443309843,22
992,443032516,22
993,302236437,15
994,261826864,13
995,241805060,12
996,60422484,3
997,40301220,2
999,40281802,2
1000,1832396644,91
1001,866344790,43
1002,1731875039,86
1003,926767600,46
1006,140984410,7
1007,423158869,21
1012,281862565,14
1013,241805310,12
1016,463117252,23
1017,322398370,16
1024,1792009679,89
1025,1672250300,83
1026,4308924825,214
1027,1873585904,93
1030,241665460,12
1036,241609708,12
1037,60442305,3
1038,483346321,24
1039,423009641,21
1044,20140410,1
1045,20150831,1
1047,443309638,22
1048,120841714,6
1049,1651964633,82
1050,241684063,12
1051,100705060,5
1052,281871060,14
1053,20150416,1
1054,60421230,3
1058,161076223,8
1059,483517418,24
1060,80562812,4
1061,322407318,16
1066,644341522,32
1067,40282054,2
1068,523576075,26
1069,342559463,17
1078,140917805,7
1079,443291728,22
1080,2839355823,141
1081,4855915908,241
1084,261816251,13
1085,201504197,10
1092,503445976,25
1093,886317700,44
1096,301963604,15
1099,40301012,2
1102,1147600324,57
1103,1128377243,56
1110,40280826,2
1120,120843706,6
1121,846142673,42
1124,40281418,2
1125,60422706,3
1128,100702697,5
1129,181305927,9
1132,261741243,13
1133,80601224,4
1134,201373527,10
1135,382853157,19
1137,120866056,6
1138,100700580,5
1139,201428744,10
1140,201347585,10
1141,1088093690,54
1142,261748905,13
1143,2055238733,102
1145,362704321,18
1150,886069138,44
1151,3646430520,181
1152,1631037210,81
1153,2236262636,111
1154,281835422,14
1156,523605999,26
1157,1833435387,91
1166,885765553,44
1168,342318580,17
1169,100752590,5
1170,80561268,4
1172,40280620,2
1173,40282242,2
1174,120786576,6
1182,1047174555,52
1183,1208602772,60
1184,1208295636,60
1185,2437845008,121
1186,60392730,3
1187,60422712,3
1192,402796387,20
1193,503585080,25
1196,644426751,32
1197,1067772190,53
1198,241687500,12
1199,342473718,17
1200,120843126,6
1201,402972550,20
1202,221543887,11
1203,302227502,15
1204,463193624,23
1205,140988333,7
1206,201309300,10
1207,100705090,5
1208,261816990,13
1209,221608363,11
1212,221487408,11
1213,463436691,23
1214,1228263313,61
1215,181325614,9
1216,302068871,15
1217,261900358,13
1218,20131023,1
1219,100742879,5
1220,80561270,4
1222,40262250,2
1224,261758207,13
1225,221654110,11
1226,1268714716,63
1227,2357232073,117
1229,80600444,4
1233,523768535,26
1236,765229252,38
1237,503655898,25
1240,422835989,21
1241,322389216,16
1243,40282208,2
1246,261768503,13
1247,20141019,1
1248,704659952,35
1249,100751555,5
1252,845692211,42
1253,664824998,33
1254,100655205,5
1256,483337917,24
1257,765505957,38
1258,886154880,44
1259,1067856442,53
1260,60393066,3
1261,1168652936,58
1264,221525777,11
1265,785868233,39
1266,60412342,3
1267,120865460,6
1269,181307308,9
1272,140983297,7
1273,40282212,2
1278,1107576044,55
1279,745274144,37
1282,402808920,20
1283,604520540,30
1286,40262014,2
1287,20150621,1
1288,1328797823,66
1289,100732539,5
1290,543680620,27
1291,826027615,41
1294,745051451,37
1295,725249096,36
1296,563934760,28
1297,80563668,4
1300,140982978,7
1301,40300834,2
1304,604170718,30
1305,161137173,8
1307,80563684,4
1308,161106046,8
1309,40281802,2
1312,40261814,2
1318,1671310045,83
1319,987190538,49
1320,664446197,33
1321,483594445,24
1326,201330674,10
1328,221507036,11
1329,322381294,16
1330,60393318,3
1333,161206464,8
1334,302060009,15
1335,705269915,35
1338,644250712,32
1339,40301024,2
1342,181217413,9
1343,282066782,14
1348,80524096,4
1350,40280430,2
1352,261722181,13
1353,80601661,4
1354,1489709581,74
1355,322267561,16
1358,2315548358,115
1359,1289508020,64
1360,140984607,7
1361,402931534,20
1367,40300620,2
1372,463079033,23
1373,161202334,8
1378,2275426036,113
1379,1309445377,65
1382,966599795,48
1383,402931594,20
1384,80524908,4
1386,281873366,14
1387,261891628,13
1392,100683575,5
1393,221657101,11
1406,2356135881,117
1407,604229684,30
1409,60442430,3
1411,120904290,6
1416,120786842,6
1426,402712456,20
1427,80602084,4
1430,845784931,42
1431,1631941057,81
1434,181234863,9
1435,322303595,16
1438,966691966,48
1439,282057697,14
1440,261712978,13
1449,120901696,6
1452,483304336,24
1453,1027492291,51
1460,946193548,47
1461,40300626,2
1464,1792498102,89
1465,80563636,4
1474,20131029,1
1478,40262060,2
1481,40282032,2
1486,382527518,19
1487,141054045,7
1488,382610893,19
1489,1309502817,65
1494,664540676,33
1495,261833710,13
1498,765177596,38
1499,342558201,17
1500,704797438,35
1501,201484108,10
1502,1067285380,53
1503,886392259,44
1504,604051877,30
1505,947008137,47
1506,745092295,37
1507,664951151,33
1512,80542254,4
1513,40281806,2
1514,2335918724,116
1515,2598768729,129
1518,704802296,35
1519,20150326,1
1520,543670665,27
1521,1128121692,56
1522,20140708,1
1523,60451227,3
1524,181179486,9
1525,544060730,27
1528,362415178,18
1529,80564484,4
1530,704808979,35
1531,705265807,35
1532,765209547,38
1533,423101957,21
1534,281908939,14
1535,100714347,5
1538,201394054,10
1539,80564432,4
1540,442967346,22
1541,2357445588,117
1542,161097162,8
1548,382518949,19
1549,443242216,22
1550,483246731,24
1551,241777143,12
1552,543746124,27
1553,342558658,17
1554,322170471,16
1555,402954168,20
1556,382582359,19
1557,20150623,1
1564,40281402,2
1565,120884546,6
1568,120823574,6
1569,120901860,6
1570,20131211,1
1571,80602440,4
1576,140982984,7
1577,80601212,4
1580,20140305,1
1584,221478026,11
1590,120786678,6
1591,120864760,6
1592,40280850,2
