avg_c,mon_count_c,mon_sum,stu_id
8.656494845,97,839.68,0
7.563235294,68,514.3,1
8.05776699,103,829.95,2
5,2,10,8
11.03636364,22,242.8,10
3.713793103,29,107.7,11
3.5,4,14,16
14.8,1,14.8,17
9.664,65,628.16,19
10.621875,64,679.8,20
9.133333333,39,356.2,21
11.42195122,41,468.3,22
11.67037037,27,315.1,23
6.78984375,128,869.1,28
6.222727273,44,273.8,29
0.3,2,0.6,32
8.486046512,86,729.8,34
7.856141732,127,997.73,35
8.566557377,61,522.56,36
6.217120419,191,1187.47,37
16.75197183,142,2378.78,38
16.66725146,171,2850.1,39
7.555454545,110,831.1,46
7.825555556,99,774.73,47
6.18047619,210,1297.9,48
5.822580645,31,180.5,49
7.47,10,74.7,56
10.45714286,14,146.4,57
13.99269231,52,727.62,60
10.70019802,101,1080.72,61
7.864962406,133,1046.04,62
6.228070175,57,355,64
8.374634146,41,343.36,65
9.348148148,81,757.2,66
8.661578947,190,1645.7,67
8.370588235,119,996.1,70
6.861904762,42,288.2,71
5.217721519,158,824.4,72
7.726923077,26,200.9,73
5.242408377,191,1001.3,74
4.886976744,215,1050.7,75
10.60221607,361,3827.4,76
13.4732342,269,3624.3,77
8.55,14,119.7,82
8.935918367,49,437.86,83
9.339344262,122,1139.4,88
9.392857143,84,789,89
9.529545455,44,419.3,90
8.408695652,23,193.4,91
12.73888889,36,458.6,92
11.31155556,90,1018.04,93
6.217647059,136,845.6,96
6.940243902,164,1138.2,97
7.398113208,106,784.2,98
6.334712042,191,1209.93,99
7.950806452,124,985.9,100
10.59803922,153,1621.5,101
13.48644231,104,1402.59,102
11.8015873,63,743.5,103
6.682142857,112,748.4,104
5.782,150,867.3,105
7.031707317,41,288.3,108
1.25,14,17.5,109
8.322279793,193,1606.2,110
3.9375,8,31.5,112
12.07142857,7,84.5,113
3.4,6,20.4,114
8.085714286,7,56.6,115
1.810344828,29,52.5,116
4.464473684,76,339.3,117
8.354545455,22,183.8,119
3.625,24,87,120
6.338095238,21,133.1,121
8.1,6,48.6,136
11.8625,24,284.7,137
4.116666667,12,49.4,138
9.715384615,26,252.6,139
1,1,1,141
10.2759322,59,606.28,142
9.205494505,91,837.7,143
8.684375,16,138.95,146
6.416428571,14,89.83,147
3.4,1,3.4,148
8,1,8,149
3.1,1,3.1,152
8.72,10,87.2,153
4.775,48,229.2,154
4.165151515,66,274.9,155
6.817582418,91,620.4,158
4,34,136,159
8.007636364,55,440.42,160
2.65,4,10.6,161
4.817613636,176,847.9,162
5.308333333,24,127.4,163
6.836913043,230,1572.49,166
3.812765957,188,716.8,167
3.342857143,21,70.2,172
8.533333333,6,51.2,173
0.321428571,7,2.25,178
9.107692308,13,118.4,179
14.54285714,7,101.8,182
13.34,5,66.7,183
5.388785047,107,576.6,184
3.487356322,87,303.4,185
12.43188406,69,857.8,186
4.675,64,299.2,187
11.06911765,68,752.7,190
3.635,20,72.7,191
4.4,1,4.4,192
11.06666667,3,33.2,193
4.480645161,31,138.9,194
33.7,2,67.4,195
3.2,3,9.6,198
4,1,4,199
7.325,40,293,200
11.79285714,28,330.2,201
1,1,1,202
7.78,5,38.9,203
6.283333333,6,37.7,204
5.775,4,23.1,205
1,1,1,206
5.916071429,336,1987.8,212
5.71056338,284,1621.8,213
6.214285714,336,2088,214
6.01496063,254,1527.8,215
13.64067797,177,2414.4,216
12.31290323,186,2290.2,217
4.298924731,93,399.8,218
3.613207547,106,383,219
6.506097561,82,533.5,220
3.033333333,3,9.1,221
6.313793103,29,183.1,224
3.645789474,38,138.54,225
11.69333333,45,526.2,228
12.24219512,123,1505.79,229
5.034579125,297,1495.27,230
5.675138122,181,1027.2,231
7.005,134,938.67,232
5.785662651,166,960.42,233
10.33034935,458,4731.3,234
13.47748593,533,7183.5,235
7.612154696,181,1377.8,236
8.440789474,76,641.5,237
6.685135135,148,989.4,238
7.075,144,1018.8,239
8.451612903,31,262,244
12.05217391,23,277.2,245
9.53908046,174,1659.8,250
10.58793103,58,614.1,251
7.804521739,115,897.52,254
5.905504587,109,643.7,255
10.55843373,166,1752.7,258
12.51132075,106,1326.2,259
10.39235294,136,1413.36,260
9.431071429,56,528.14,261
7.682857143,21,161.34,266
4.90141844,141,691.1,267
8.144720497,161,1311.3,268
8.4,124,1041.6,269
7.778301887,106,824.5,270
8.340120482,83,692.23,271
11.24354839,62,697.1,272
11.70645161,62,725.8,273
6.769230769,65,440,274
6.952777778,36,250.3,275
8.288513514,148,1226.7,276
7.777777778,144,1120,277
5.482978723,47,257.7,278
5.165555556,63,325.43,279
12.2130742,283,3456.3,282
14.94913793,116,1734.1,283
10.77737931,145,1562.72,286
7.94,5,39.7,287
7.132835821,268,1911.6,288
8.748746518,359,3140.8,289
4.461818182,55,245.4,290
5.35890411,73,391.2,291
7.671280488,164,1258.09,294
6.187969925,133,823,295
9.422966102,118,1111.91,296
5.303296703,91,482.6,297
8.606935484,124,1067.26,298
5.477272727,66,361.5,299
11.2904,375,4233.9,300
12.63913846,325,4107.72,301
9.072262774,137,1242.9,304
9.55359375,128,1222.86,305
6.319230769,52,328.6,306
5.874918033,61,358.37,307
5.403355705,149,805.1,308
7.278504673,214,1557.6,309
7.028571429,28,196.8,310
5.364772727,88,472.1,311
9.208888889,45,414.4,312
13.9,10,139,313
8.253214286,112,924.36,318
8.918909091,55,490.54,319
5.572297297,296,1649.4,320
7.510192308,208,1562.12,321
6.791753846,325,2207.32,322
6.806887755,392,2668.3,323
5.400425532,235,1269.1,324
5.128504673,214,1097.5,325
10.55274725,91,960.3,328
10.32040816,49,505.7,329
12.35007407,135,1667.26,330
9.007894737,152,1369.2,331
8.692228916,166,1442.91,334
9.262903226,124,1148.6,335
6.749375,160,1079.9,344
8.263636364,154,1272.6,345
12.30764331,157,1932.3,346
10.71504425,113,1210.8,347
5.744186047,172,988,348
6.555023923,209,1370,349
7.438268156,179,1331.45,352
9.679710145,138,1335.8,353
7.299055118,127,926.98,354
7.887421384,159,1254.1,355
11.12387097,31,344.84,358
7.884705882,170,1340.4,362
4.591304348,23,105.6,363
9.204038462,52,478.61,366
8.580952381,42,360.4,367
11.94821429,56,669.1,368
12.325,36,443.7,369
16.56363636,11,182.2,372
12.51818182,11,137.7,373
4.85410628,207,1004.8,376
4.372540984,244,1066.9,377
11.12047619,42,467.06,384
4.416666667,6,26.5,385
6.731578947,19,127.9,386
6.48630137,73,473.5,387
4.243548387,62,263.1,388
4.732835821,67,317.1,389
3.005,20,60.1,390
6.191666667,36,222.9,391
2.825,12,33.9,394
4.9,7,34.3,395
7,2,14,396
10.12380952,21,212.6,397
4.831034483,29,140.1,399
3.683870968,31,114.2,400
