left_money_max,stu_id
228.98,0
302.41,1
300.0,2
38.8,3
231.26,8
237.96,9
210.74,10
248.55,11
200.07,16
185.63,17
235.76,19
206.32,20
137.22,21
619.62,22
600.55,23
117.37,28
306.15,29
104.85,32
50.03,33
507.8,34
222.51,35
232.37,36
269.75,37
294.69,38
221.83,39
203.55,46
184.43,47
206.74,48
121.4,49
301.04,56
205.64,57
692.47,60
665.02,61
224.58,62
224.71,64
241.93,65
132.9,66
274.74,67
111.83,70
113.17,71
204.37,72
137.77,73
201.7,74
262.44,75
611.66,76
556.87,77
202.0,82
244.12,83
225.45,88
143.14,89
145.69,90
124.44,91
327.33,92
515.62,93
134.3,96
211.9,97
208.0,98
401.38,99
401.11,100
412.38,101
216.6,102
108.13,103
121.37,104
601.62,105
458.63,108
403.76,109
202.96,110
201.31,111
207.61,112
137.14,113
342.65,114
393.82,115
874.33,116
628.87,117
314.43,118
400.76,119
633.78,120
518.63,121
240.68,136
225.54,137
307.28,138
315.65,139
116.24,140
204.86,141
233.93,142
204.06,143
206.36,146
115.62,147
273.97,148
229.35,149
351.47,152
315.87,153
140.86,154
128.29,155
202.58,158
209.12,159
331.39,160
256.97,161
216.64,162
226.83,163
756.74,166
823.92,167
319.02,172
300.14,173
309.56,178
225.49,179
200.09,182
201.25,183
601.45,184
304.73,185
294.7,186
195.8,187
303.04,190
411.34,191
322.86,192
319.8,193
237.72,194
209.21,195
202.22,198
257.16,199
206.81,200
300.65,201
429.95,202
200.51,203
324.28,204
152.27,205
118.78,206
156.3,207
304.07,212
390.92,213
480.2,214
213.63,215
879.03,216
779.64,217
163.9,218
129.86,219
302.72,220
108.2,221
115.29,224
113.29,225
270.43,228
269.96,229
302.58,230
500.27,231
203.0,232
205.61,233
220.59,234
214.81,235
125.65,236
206.8,237
862.0,238
804.98,239
117.0,244
118.1,245
118.51,250
110.92,251
318.3,254
196.19,255
218.37,258
140.14,259
349.86,260
252.52,261
200.11,266
202.28,267
504.52,268
120.65,269
401.93,270
401.5,271
505.39,272
220.27,273
302.17,274
204.63,275
212.55,276
211.52,277
363.22,278
548.06,279
246.87,282
208.58,283
300.51,286
208.53,287
320.25,288
337.52,289
105.08,290
114.18,291
505.7,294
213.43,295
273.0,296
208.09,297
314.14,298
415.1,299
218.47,300
302.73,301
253.97,304
286.38,305
169.49,306
235.75,307
122.77,308
312.62,309
220.83,310
215.35,311
600.92,312
418.45,313
212.92,318
221.44,319
242.17,320
164.03,321
226.71,322
233.78,323
178.94,324
210.02,325
163.46,328
112.05,329
506.68,330
312.0,331
390.78,334
317.5,335
326.42,344
255.64,345
405.83,346
438.27,347
240.04,348
227.73,349
309.85,352
325.0,353
313.16,354
284.28,355
316.63,358
162.25,362
223.25,363
504.68,366
303.09,367
116.52,368
251.25,369
109.17,372
100.84,373
243.39,376
280.27,377
504.4,384
215.61,385
127.83,386
203.91,387
302.96,388
169.11,389
200.06,390
127.67,391
122.26,394
110.25,395
372.68,396
411.79,397
129.73,398
160.81,399
108.58,400
102.01,401
301.02,404
301.87,405
296.77,406
0.0,407
128.41,408
158.91,409
115.84,412
216.46,413
136.83,416
101.49,417
129.42,418
154.8,419
402.98,420
242.1,421
353.1,424
346.65,425
554.23,426
559.5,427
410.67,430
407.25,431
215.04,432
289.19,433
332.15,438
303.13,439
607.7,440
523.61,441
131.78,442
131.05,443
490.36,444
401.86,445
228.67,446
307.19,447
153.63,448
218.22,449
325.3,450
308.17,451
242.49,452
255.07,453
241.96,454
310.73,455
502.06,460
326.39,461
263.37,462
147.52,463
201.4,466
220.18,467
401.16,468
321.04,469
400.65,470
318.67,471
334.08,474
627.02,475
384.09,476
354.38,477
313.77,478
315.96,479
303.66,480
224.85,481
358.0,484
321.4,485
301.15,486
405.33,487
427.83,488
239.4,489
405.76,496
282.6,497
401.86,498
149.48,499
103.26,500
114.39,501
201.64,502
202.17,503
612.25,504
301.5,505
349.12,508
502.93,509
333.46,510
508.02,511
204.73,512
201.13,513
306.13,522
305.99,523
307.08,524
320.29,525
546.8,526
313.63,527
307.41,528
272.06,529
305.12,532
415.4,533
220.64,534
230.81,535
268.13,536
252.67,537
426.64,544
404.82,545
353.69,550
469.14,551
312.48,552
308.47,553
256.06,558
239.34,559
355.39,562
619.21,563
309.79,564
327.04,565
269.42,566
241.91,567
767.24,570
715.1,571
521.87,572
363.36,573
620.19,574
329.19,575
236.75,576
234.35,577
469.83,578
207.66,579
374.3,580
208.04,581
261.83,582
111.55,583
513.18,584
279.68,585
181.92,586
214.53,587
440.59,588
287.33,589
205.66,592
210.89,593
115.88,594
