avg_s,mon_count_s,mon_sum,stu_id
4.945114504,131,647.81,0
5.835606061,264,1540.6,1
5.345,150,801.75,2
6.145238095,63,387.15,8
8.51838565,223,1899.6,9
4.60897561,205,944.84,10
5.46557377,61,333.4,11
6.865625,16,109.85,16
4.277583333,120,513.31,19
5.355335968,253,1354.9,20
6.288383838,99,622.55,21
5.589763636,550,3074.37,22
6.557242063,504,3304.85,23
3.607478261,345,1244.58,28
4.140130435,230,952.23,29
4.11031746,189,776.85,32
4.660501002,499,2325.59,34
3.031051502,466,1412.47,35
3.424136364,880,3013.24,36
4.406989247,558,2459.1,37
4.740586207,290,1374.77,38
4.538913043,230,1043.95,39
4.128201058,756,3120.92,46
5.843959044,293,1712.28,47
3.752111628,1075,4033.52,48
3.720278884,251,933.79,49
5.260526316,76,399.8,56
4.5,28,126,57
4.028021472,652,2626.27,60
4.20774942,431,1813.54,61
5.328252427,206,1097.62,62
4.398911223,597,2626.15,64
4.186040268,447,1871.16,65
4.066214953,428,1740.34,66
4.844444444,117,566.8,67
5.628771331,293,1649.23,70
4.681136364,176,823.88,71
4.279757085,247,1057.1,72
5.866666667,90,528,73
3.612622378,572,2066.42,74
3.524457547,424,1494.37,75
5.158682635,167,861.5,76
3.992567568,74,295.45,77
3.869185185,270,1044.68,82
5.123909774,133,681.48,83
4.816510172,639,3077.75,88
5.028625954,131,658.75,89
4.390936709,395,1734.42,90
5.26537037,108,568.66,91
4.014942263,433,1738.47,92
4.881693989,366,1786.7,93
4.048479167,480,1943.27,96
4.747766749,403,1913.35,97
3.081410714,560,1725.59,98
4.856470588,187,908.16,99
4.537911877,522,2368.79,100
4.524436519,701,3171.63,101
4.304670051,394,1696.04,102
4.956410256,39,193.3,103
4.450661626,529,2354.4,104
4.936588235,255,1258.83,105
3.513583333,480,1686.52,108
4.211260504,119,501.14,109
6.524613003,323,2107.45,110
7.538461538,13,98,111
6.889649123,57,392.71,112
6.961111111,54,375.9,113
7.564078947,152,1149.74,114
7.925,96,760.8,115
7.440714286,70,520.85,116
5.914949495,99,585.58,117
5.99047619,84,503.2,118
6.622916667,96,635.8,119
6.14,55,337.7,120
6.578169014,142,934.1,121
4.734166667,36,170.43,136
5.172682927,41,212.08,137
5.876213592,103,605.25,138
7.154710744,121,865.72,139
7.650632911,79,604.4,140
7.460545455,55,410.33,141
4.682453704,216,1011.41,142
5.10200565,354,1806.11,143
4.697368421,38,178.5,146
5.086956522,69,351,147
4.857526882,93,451.75,148
6.725,104,699.4,149
6.58046875,64,421.15,152
5.970833333,120,716.5,153
3.264117647,85,277.45,154
5.341176471,136,726.4,155
3.737168142,226,844.6,158
6.436764706,68,437.7,159
3.708541667,240,890.05,160
6.55,154,1008.7,161
3.839166667,444,1704.59,162
5.579166667,24,133.9,163
3.578314425,617,2207.82,166
5.531559633,109,602.94,167
7.115142857,35,249.03,172
14.3,2,28.6,173
6.740484848,165,1112.18,178
8.35,53,442.55,179
5.618518519,27,151.7,182
6.67625,8,53.41,183
4.100019608,510,2091.01,184
4.624626866,67,309.85,185
3.494115385,520,1816.94,186
4.443311688,154,684.27,187
5.354978541,233,1247.71,190
4.975735294,68,338.35,191
5.664705882,34,192.6,192
7.301566265,83,606.03,193
6.699382716,81,542.65,194
7.891111111,45,355.1,195
6.432321429,56,360.21,198
6.637931034,29,192.5,199
4.315703971,277,1195.45,200
5.443430233,172,936.27,201
6.58253012,83,546.35,202
6.825675676,74,505.1,203
6.901785714,112,773,204
6.970272727,110,766.73,205
7.470588235,17,127,206
6.8375,24,164.1,207
5.200448549,379,1970.97,212
6.090699708,343,2089.11,213
4.173290323,620,2587.44,214
4.42064433,388,1715.21,215
4.553765743,794,3615.69,216
4.206684492,187,786.65,217
4.211700405,494,2080.58,218
3.244142012,676,2193.04,219
3.472128514,498,1729.12,220
3.174390244,41,130.15,221
3.391273585,212,718.95,224
4.835075758,132,638.23,225
3.65394822,309,1129.07,228
4.076077586,232,945.65,229
3.048059441,1144,3486.98,230
3.431133747,1129,3873.75,231
4.488761905,420,1885.28,232
4.145389908,436,1807.39,233
3.870128205,858,3320.57,234
3.727620818,538,2005.46,235
4.094965035,572,2342.32,236
4.004109817,601,2406.47,237
4.914400826,484,2378.57,238
4.797579299,599,2873.75,239
3.368422619,336,1131.79,244
4.761974522,157,747.63,245
4.964505119,293,1454.6,250
5.086190476,21,106.81,251
3.744497908,478,1789.87,254
3.348592593,540,1808.24,255
5.230331126,151,789.78,258
4.986440678,59,294.2,259
4.321740413,339,1465.07,260
3.847440476,168,646.37,261
3.831827957,93,356.36,266
3.702477718,561,2077.09,267
4.116563107,515,2120.03,268
4.207122302,278,1169.58,269
6.461807692,260,1680.07,270
7.066747967,123,869.21,271
5.299233577,274,1451.99,272
5.525209302,215,1187.92,273
3.880627178,287,1113.74,274
4.479090909,110,492.7,275
3.497307692,390,1363.95,276
3.413061798,356,1215.05,277
3.195950266,563,1799.32,278
3.742993421,608,2275.74,279
5.973156966,567,3386.78,282
6.849818182,275,1883.7,283
3.775536585,410,1547.97,286
3.45,31,106.95,287
4.491071429,588,2640.75,288
3.998646035,517,2067.3,289
3.497303371,267,933.78,290
3.58521511,953,3416.71,291
4.300236887,591,2541.44,294
3.730844444,675,2518.32,295
4.336953846,650,2819.02,296
4.028146611,723,2912.35,297
4.410670391,716,3158.04,298
3.974112821,975,3874.76,299
3.913191489,752,2942.72,300
3.525972973,740,2609.22,301
3.647577855,867,3162.45,304
3.730705244,553,2063.08,305
4.193414634,123,515.79,306
3.414164524,389,1328.11,307
4.233525641,468,1981.29,308
4.143650794,378,1566.3,309
6.1409699,299,1836.15,310
5.136666667,417,2141.99,311
3.695199005,402,1485.47,312
3.745972222,72,269.71,313
3.716754032,496,1843.51,318
