stu_id,dep,top,topN
1,9,2,0.0681895669962
8,6,1565,99.6815286624
9,6,1570,100.0
10,3,1,0.0439174352218
11,3,2,0.0878348704436
19,7,7,0.726895119418
20,7,356,36.9678089304
21,7,381,39.5638629283
22,8,1734,61.2720848057
23,8,2154,76.1130742049
28,8,2245,79.3286219081
29,8,2247,79.3992932862
36,8,2269,80.1766784452
37,8,2272,80.2826855124
56,8,2365,83.5689045936
57,8,2376,83.9575971731
62,8,2433,85.9717314488
63,8,2442,86.2897526502
64,8,2457,86.8197879859
65,8,2468,87.2084805654
66,9,2864,97.6474599386
67,9,2865,97.6815547221
70,9,2872,97.9202182066
71,9,2873,97.9543129901
74,9,2882,98.2611660416
75,9,2885,98.3634503921
76,9,2890,98.5339243096
77,9,2895,98.7043982271
82,9,2906,99.0794408456
83,9,2907,99.113535629
88,9,2916,99.4203886805
89,9,2923,99.659052165
92,9,2926,99.7613365155
93,9,2927,99.795431299
98,9,2932,99.9659052165
99,9,2933,100.0
112,5,9,0.324324324324
113,5,10,0.36036036036
118,5,15,0.540540540541
119,5,16,0.576576576577
138,5,297,10.7027027027
139,5,398,14.3423423423
142,9,1123,38.2884418684
143,9,1124,38.3225366519
152,6,533,33.949044586
153,6,608,38.7261146497
154,6,609,38.7898089172
155,6,610,38.8535031847
158,6,611,38.9171974522
159,6,612,38.9808917197
160,6,613,39.0445859873
161,6,614,39.1082802548
162,6,615,39.1719745223
163,6,616,39.2356687898
172,6,625,39.8089171975
173,6,626,39.872611465
178,6,631,40.1910828025
179,6,632,40.2547770701
184,3,911,40.008783487
185,3,912,40.0527009223
186,3,913,40.0966183575
187,3,914,40.1405357927
192,3,919,40.3601229688
193,3,920,40.404040404
194,3,921,40.4479578393
195,3,922,40.4918752745
198,3,925,40.6236275801
199,3,926,40.6675450154
206,3,934,41.0188844971
207,3,935,41.0628019324
212,4,951,39.3951946976
213,4,952,39.4366197183
216,4,955,39.5608947804
217,4,956,39.6023198012
220,4,959,39.7265948633
221,4,964,39.9337199669
224,4,967,40.057995029
225,4,968,40.0994200497
230,4,974,40.347970174
231,4,975,40.3893951947
232,4,976,40.4308202154
233,4,977,40.4722452361
236,4,980,40.5965202983
237,4,983,40.7207953604
238,4,984,40.7622203811
239,4,985,40.8036454018
244,4,991,41.0521955261
245,4,992,41.0936205468
254,1,283,76.902173913
255,1,284,77.1739130435
258,1,285,77.4456521739
259,1,286,77.7173913043
266,1,291,79.0760869565
267,1,292,79.347826087
282,19,951,41.2581344902
283,19,1001,43.4273318872
288,19,1250,54.2299349241
289,19,1299,56.3557483731
294,19,1321,57.3101952278
295,19,1322,57.3535791757
296,19,1323,57.3969631236
297,19,1324,57.4403470716
300,19,1327,57.5704989154
301,19,1328,57.6138828633
306,19,1333,57.830802603
307,19,1334,57.874186551
322,19,1349,58.5249457701
323,19,1350,58.568329718
330,19,1359,58.9587852495
331,19,1360,59.0021691974
346,19,1375,59.6529284165
347,19,1376,59.6963123644
352,19,1381,59.9132321041
353,19,1382,59.9566160521
354,19,1383,60.0
355,19,1384,60.0433839479
366,11,368,60.626029654
367,11,369,60.7907742998
368,11,370,60.9555189456
369,11,371,61.1202635914
372,5,2612,94.1261261261
373,5,2623,94.5225225225
398,13,2703,99.5946941783
399,13,2704,99.6315401621
400,13,2705,99.6683861459
401,13,2706,99.7052321297
406,13,2711,99.8894620486
407,13,2712,99.9263080324
408,13,2713,99.9631540162
409,13,2714,100.0
412,4,1401,58.0364540182
413,4,1402,58.0778790389
426,16,299,74.0099009901
427,16,300,74.2574257426
430,16,303,75.0
431,16,304,75.2475247525
438,16,311,76.9801980198
439,16,312,77.2277227723
440,16,313,77.4752475248
441,16,314,77.7227722772
448,16,321,79.4554455446
449,16,322,79.702970297
450,16,323,79.9504950495
451,16,324,80.198019802
470,16,343,84.900990099
471,16,346,85.6435643564
476,16,351,86.8811881188
477,16,352,87.1287128713
480,16,355,87.8712871287
481,16,358,88.6138613861
496,16,373,92.3267326733
497,16,374,92.5742574257
504,8,2304,81.4134275618
505,8,2305,81.4487632509
508,8,2308,81.554770318
509,8,2309,81.5901060071
510,8,2311,81.6607773852
511,8,2312,81.6961130742
522,8,2322,82.0494699647
523,8,2323,82.0848056537
524,8,2324,82.1201413428
525,8,2325,82.1554770318
528,8,2328,82.2614840989
529,8,2329,82.296819788
532,8,2333,82.4381625442
533,8,2334,82.4734982332
534,8,2335,82.5088339223
535,8,2336,82.5441696113
536,8,2337,82.5795053004
537,8,2338,82.6148409894
552,8,2357,83.2862190813
553,8,2358,83.3215547703
564,8,2370,83.7455830389
565,8,2371,83.7809187279
566,8,2372,83.816254417
567,8,2373,83.851590106
572,8,2379,84.0636042403
573,8,2380,84.0989399293
576,8,2383,84.2049469965
577,8,2384,84.2402826855
580,8,2388,84.3816254417
581,8,2389,84.4169611307
584,8,2392,84.5229681979
