stu_id,avg_s,avg_c,mon_count_c,topN,times
2,5.345,8.05776699,103.0,96.5881951552,0.0
3,4.80508088556,8.9764008905,81.3247311828,96.5881951552,0.0
16,6.865625,3.5,4.0,0.163666121113,0.0
17,4.80508088556,14.8,1.0,0.327332242226,0.0
32,4.11031746,0.3,2.0,79.7947629158,20.0
33,4.80508088556,8.9764008905,81.3247311828,80.1840056617,0.0
34,4.660501002,8.486046512,86.0,80.2193913659,0.0
35,3.031051502,7.856141732,127.0,80.2547770701,0.0
38,4.740586207,16.75197183,142.0,80.4317055909,33.0
39,4.538913043,16.66725146,171.0,80.4670912951,100.0
46,4.128201058,7.555454545,110.0,81.1394196745,0.0
47,5.843959044,7.825555556,99.0,81.3871196037,4.0
48,3.752111628,6.18047619,210.0,81.4225053079,25.0
49,3.720278884,5.822580645,31.0,81.457891012,0.0
60,4.028021472,13.99269231,52.0,85.3149327672,4.0
61,4.20774942,10.70019802,101.0,85.7041755131,0.0
72,4.279757085,5.217721519,158.0,98.1917434323,0.0
73,5.866666667,7.726923077,26.0,98.2940975776,0.0
90,4.390936709,9.529545455,44.0,99.7611736609,0.0
91,5.26537037,8.408695652,23.0,99.7952917093,16.0
96,4.048479167,6.217647059,136.0,99.9658819516,34.0
97,4.747766749,6.940243902,164.0,100.0,34.0
100,4.537911877,7.950806452,124.0,0.102354145343,0.0
101,4.524436519,10.59803922,153.0,0.136472193791,0.0
102,4.304670051,13.48644231,104.0,0.170590242238,0.0
103,4.956410256,11.8015873,63.0,0.204708290686,0.0
104,4.450661626,6.682142857,112.0,0.238826339133,12.0
105,4.936588235,5.782,150.0,0.272944387581,0.0
108,3.513583333,7.031707317,41.0,0.108499095841,31.0
109,4.211260504,1.25,14.0,0.144665461121,47.0
110,6.524613003,8.322279793,193.0,0.180831826401,0.0
111,7.538461538,8.9764008905,81.3247311828,0.216998191682,0.0
114,7.564078947,3.4,6.0,0.397830018083,0.0
115,7.925,8.085714286,7.0,0.433996383363,0.0
116,7.440714286,1.810344828,29.0,0.470162748644,40.0
117,5.914949495,4.464473684,76.0,0.506329113924,26.0
120,6.14,3.625,24.0,0.614828209765,0.0
121,6.578169014,6.338095238,21.0,0.650994575045,0.0
136,4.734166667,8.1,6.0,3.50813743219,6.0
137,5.172682927,11.8625,24.0,7.08860759494,4.0
140,7.650632911,8.9764008905,81.3247311828,17.9746835443,0.0
141,7.460545455,1.0,1.0,21.4828209765,0.0
146,4.697368421,8.684375,16.0,0.320102432778,15.0
147,5.086956522,6.416428571,14.0,3.20102432778,2.0
148,4.857526882,3.4,1.0,9.15492957746,0.0
149,6.725,8.0,1.0,15.3649167734,0.0
166,3.578314425,6.836913043,230.0,39.628681178,117.0
167,5.531559633,3.812765957,188.0,39.6927016645,61.0
182,5.618518519,14.54285714,7.0,39.453125,0.0
183,6.67625,13.34,5.0,39.4965277778,0.0
190,5.354978541,11.06911765,68.0,39.8003472222,0.0
191,4.975735294,3.635,20.0,39.84375,3.0
200,4.315703971,7.325,40.0,40.234375,7.0
201,5.443430233,11.79285714,28.0,40.2777777778,0.0
202,6.58253012,1.0,1.0,40.3211805556,11.0
203,6.825675676,7.78,5.0,40.3645833333,22.0
204,6.901785714,6.283333333,6.0,40.4513888889,11.0
205,6.970272727,5.775,4.0,40.4947916667,81.0
214,4.173290323,6.214285714,336.0,39.4453642384,3.0
215,4.42064433,6.01496063,254.0,39.4867549669,82.0
218,4.211700405,4.298924731,93.0,39.6109271523,78.0
219,3.244142012,3.613207547,106.0,39.6523178808,25.0
228,3.65394822,11.69333333,45.0,40.190397351,0.0
229,4.076077586,12.24219512,123.0,40.2317880795,13.0
234,3.870128205,10.33034935,458.0,40.4801324503,0.0
235,3.727620818,13.47748593,533.0,40.5215231788,0.0
250,4.964505119,9.53908046,174.0,38.6041971694,3.0
251,5.086190476,10.58793103,58.0,38.6530014641,0.0
260,4.321740413,10.39235294,136.0,38.897022938,6.0
261,3.847440476,9.431071429,56.0,38.9458272328,0.0
268,4.116563107,8.144720497,161.0,38.9946315276,26.0
269,4.207122302,8.4,124.0,39.0434358224,49.0
270,6.461807692,7.778301887,106.0,79.1891891892,12.0
271,7.066747967,8.340120482,83.0,79.4594594595,0.0
272,5.299233577,11.24354839,62.0,39.0922401171,110.0
273,5.525209302,11.70645161,62.0,39.1410444119,8.0
274,3.880627178,6.769230769,65.0,39.8864132809,0.0
275,4.479090909,6.952777778,36.0,39.9301004806,8.0
276,3.497307692,8.288513514,148.0,39.9737876802,7.0
277,3.413061798,7.777777778,144.0,40.0174748799,6.0
278,3.195950266,5.482978723,47.0,40.0611620795,21.0
279,3.742993421,5.165555556,63.0,40.1048492792,25.0
286,3.775536585,10.77737931,145.0,50.2402795981,0.0
287,3.45,7.94,5.0,52.380952381,0.0
290,3.497303371,4.461818182,55.0,57.5360419397,107.0
291,3.58521511,5.35890411,73.0,57.5797291394,120.0
298,4.410670391,8.606935484,124.0,57.8855395369,97.0
299,3.974112821,5.477272727,66.0,57.9292267366,49.0
304,3.647577855,9.072262774,137.0,58.1476627348,3.0
305,3.730705244,9.55359375,128.0,58.1913499345,0.0
308,4.233525641,5.403355705,149.0,58.3224115334,39.0
309,4.143650794,7.278504673,214.0,58.3660987331,0.0
310,6.1409699,7.028571429,28.0,58.4097859327,4.0
311,5.136666667,5.364772727,88.0,58.4534731324,14.0
312,3.695199005,9.208888889,45.0,58.497160332,0.0
313,3.745972222,13.9,10.0,58.5408475317,0.0
318,3.716754032,8.253214286,112.0,58.7592835299,20.0
319,4.134530892,8.918909091,55.0,58.8029707296,0.0
320,3.621419492,5.572297297,296.0,58.8466579292,138.0
321,4.305045045,7.510192308,208.0,58.8903451289,151.0
324,4.506204239,5.400425532,235.0,59.0214067278,14.0
325,6.166718266,5.128504673,214.0,59.0650939275,16.0
328,4.564307692,10.55274725,91.0,59.2835299257,0.0
329,4.861383929,10.32040816,49.0,59.3272171254,0.0
334,4.01912766,8.692228916,166.0,59.5456531236,0.0
335,4.517777778,9.262903226,124.0,59.5893403233,0.0
344,4.49306391,6.749375,160.0,59.9825251201,5.0
345,5.308470948,8.263636364,154.0,60.0262123198,6.0
348,4.961734417,5.744186047,172.0,60.1572739187,3.0
349,4.773947858,6.555023923,209.0,60.2009611184,0.0
358,4.178723404,11.12387097,31.0,54.6644844517,0.0
359,4.80508088556,8.9764008905,81.3247311828,54.8281505728,0.0
362,4.041861472,7.884705882,170.0,55.3191489362,0.0
363,7.434315789,4.591304348,23.0,55.4828150573,3.0
376,3.925452381,4.85410628,207.0,59.965034965,45.0
377,3.664618585,4.372540984,244.0,60.1398601399,0.0
384,5.365154062,11.12047619,42.0,60.2409638554,15.0
385,3.768181818,4.416666667,6.0,60.374832664,0.0
386,4.619836601,6.731578947,19.0,77.135678392,22.0
387,4.537647059,6.48630137,73.0,77.3869346734,2.0
388,3.775574534,4.243548387,62.0,77.6381909548,7.0
389,4.062109955,4.732835821,67.0,77.8894472362,2.0
390,6.556385542,3.005,20.0,99.4464944649,12.0
391,7.539344262,6.191666667,36.0,99.4833948339,4.0
394,6.505434783,2.825,12.0,99.594095941,7.0
395,7.201176471,4.9,7.0,99.63099631,5.0
396,8.168070175,7.0,2.0,99.667896679,2.0
397,7.72626506,10.12380952,21.0,99.704797048,0.0
404,5.040614035,2.38,5.0,99.963099631,5.0
405,6.255,4.457142857,7.0,100.0,0.0
416,4.3686,5.441269841,63.0,61.186264308,0.0
417,4.146987179,5.88,20.0,61.2903225806,4.0
418,3.816129032,7.036029412,136.0,71.6748768473,38.0
419,4.177484737,6.663483146,178.0,71.921182266,17.0
420,3.578599034,8.096086957,276.0,72.1674876847,0.0
421,3.961891892,9.624166667,216.0,72.4137931034,4.0
424,1.974314465,7.325925926,27.0,73.1527093596,117.0
425,2.567149758,4.431612903,93.0,73.3990147783,61.0
432,4.126769231,9.532954545,88.0,75.1231527094,0.0
433,4.722051282,13.53789474,57.0,75.3694581281,0.0
442,3.946133333,8.229146341,164.0,77.5862068966,55.0
443,3.950036496,8.606202532,158.0,77.8325123153,43.0
444,3.079719101,9.843157895,95.0,78.078817734,12.0
445,2.96537797,14.05813953,43.0,78.3251231527,1.0
446,3.756992188,9.114644809,183.0,78.5714285714,4.0
447,5.275512195,12.34974359,117.0,78.8177339901,2.0
452,3.147388633,5.643478261,46.0,80.0492610837,85.0
453,2.905742857,4.289824561,57.0,80.2955665025,80.0
454,3.039853837,6.258695652,46.0,80.5418719212,135.0
455,3.161863354,10.69683544,79.0,80.7881773399,58.0
460,5.172020202,12.48412698,63.0,82.0197044335,38.0
461,6.322727273,20.946875,32.0,82.2660098522,34.0
462,1.611111111,2.85,10.0,82.5123152709,97.0
463,2.940588235,2.668131868,91.0,82.7586206897,54.0
466,2.271218569,6.980487805,41.0,83.4975369458,105.0
467,2.181624204,4.136875,32.0,83.7438423645,118.0
468,6.354373522,8.756730769,104.0,83.9901477833,7.0
469,6.966096939,11.5,45.0,84.236453202,8.0
474,3.826381365,10.12444444,270.0,85.960591133,8.0
475,4.999053061,10.85546218,119.0,86.2068965517,12.0
478,3.892228261,9.755263158,76.0,86.9458128079,69.0
479,3.649688623,7.795555556,90.0,87.1921182266,76.0
484,4.792266667,9.110882353,68.0,88.9162561576,23.0
485,5.109247136,8.872881356,59.0,89.1625615764,14.0
486,4.793349515,8.800699301,143.0,89.4088669951,14.0
487,6.42980198,8.884621849,119.0,89.6551724138,13.0
488,4.553168831,12.42140351,285.0,89.9014778325,4.0
489,4.699590164,15.40949367,158.0,90.1477832512,0.0
498,3.090874074,5.925438596,114.0,92.3645320197,68.0
499,3.605625,6.796153846,52.0,92.6108374384,158.0
500,2.700832282,5.257723577,123.0,92.8571428571,162.0
501,3.302655786,5.188607595,79.0,93.1034482759,139.0
502,4.473405172,10.45294118,17.0,93.3497536946,1.0
503,5.619440559,8.928571429,14.0,93.5960591133,1.0
512,4.266326816,7.797142857,70.0,81.847133758,28.0
513,4.59943662,4.370642202,109.0,81.8825194621,16.0
526,3.750709319,6.804395604,91.0,82.3071479122,39.0
527,4.449279732,6.6953125,128.0,82.3425336164,17.0
544,3.576921053,11.56237113,388.0,83.0856334041,2.0
545,3.228443526,12.7292766,470.0,83.1210191083,0.0
550,4.174740634,8.408256881,109.0,83.3333333333,0.0
551,4.304875312,8.75859375,128.0,83.3687190375,6.0
558,3.736433333,6.7825,40.0,83.6164189667,4.0
559,4.433646055,11.41,10.0,83.6518046709,0.0
562,5.53565445,13.62333333,30.0,83.7933474876,0.0
563,3.14,6.944444444,9.0,83.8287331918,12.0
570,4.22606383,10.88292683,164.0,84.1118188252,72.0
571,4.240273775,10.38458904,146.0,84.1472045294,32.0
574,4.693182752,11.24461538,130.0,84.2533616419,5.0
575,3.895208333,11.42288889,90.0,84.2887473461,0.0
578,4.723262956,13.08878505,107.0,84.3949044586,15.0
579,6.316176471,8.180555556,36.0,84.4302901628,2.0
582,5.648382643,12.25294118,51.0,84.5718329795,4.0
583,4.485770492,7.914893617,47.0,84.6072186837,0.0
586,3.627493917,5.340833333,120.0,84.7841472045,17.0
587,4.433654822,5.610629921,127.0,84.8195329087,18.0
588,3.966652632,5.025373134,134.0,84.8549186129,0.0
589,3.102806653,4.876404494,89.0,84.8903043171,6.0
592,4.632287234,7.013939394,198.0,85.0318471338,2.0
593,4.052715054,7.530136986,146.0,85.0672328379,10.0
594,4.249046794,8.084466019,206.0,85.1026185421,0.0
595,5.383342697,9.094927536,138.0,85.1380042463,4.0
598,4.110577933,9.291034483,116.0,85.2441613588,16.0
599,4.980961538,7.719052632,95.0,85.279547063,21.0
604,3.13026087,8.845251397,179.0,85.491861288,1.0
605,4.160769231,6.831878788,165.0,85.5272469922,0.0
608,4.170403226,8.766153846,130.0,85.6334041047,36.0
609,3.753656716,10.0060241,83.0,85.6687898089,83.0
610,4.191699346,10.67892562,121.0,85.7395612173,6.0
611,4.377798913,11.87429412,170.0,85.7749469214,29.0
614,4.744444444,15.92567568,74.0,85.881104034,0.0
615,5.027934783,15.44850746,134.0,85.9164897381,0.0
618,4.039826255,14.43636364,22.0,86.0226468507,18.0
619,3.799012097,8.347826087,23.0,86.0580325548,27.0
620,3.429633174,10.94325581,43.0,86.1288039632,27.0
621,3.284878049,16.02727273,44.0,86.1641896674,31.0
630,3.430939431,4.990740741,162.0,86.4472753008,119.0
631,3.143155963,6.943269231,104.0,86.482661005,85.0
640,4.161498772,5.747826087,92.0,86.9780608634,0.0
641,5.247645631,7.582857143,35.0,87.0134465676,0.0
642,4.664760602,9.055339806,103.0,87.0488322718,146.0
643,5.241334842,9.649305556,144.0,87.0842179759,315.0
646,4.788515625,9.010119048,168.0,87.1903750885,18.0
647,3.881602709,6.157446809,94.0,87.2257607926,5.0
