,stu_id,class,avg_s,avg,mon_count,top,time
6,20,0,5.355335968,10.621875,64.0,36.9678089304,9.0
8,22,1,5.589763636,11.4219512195,41.0,61.2720848057,5.0
10,28,1,3.607478261,6.78984375,128.0,79.3286219081,4.0
14,56,0,5.260526316,7.47,10.0,83.5689045936,6.0
16,62,0,5.328252427,7.86496240602,133.0,85.9717314488,1.0
18,64,2,4.398911223,6.22807017544,57.0,86.8197879859,92.0
20,66,0,4.066214953,9.34814814815,81.0,97.6474599386,69.0
28,82,0,3.869185185,8.55,14.0,99.0794408456,5.0
32,92,1,4.014942263,12.7388888889,36.0,99.7613365155,4.0
34,98,0,3.081410714,7.39811320755,106.0,99.9659052165,3.0
42,142,0,4.682453704,10.2759322034,59.0,38.2884418684,34.0
46,154,0,3.264117647,4.775,48.0,38.7898089172,3.0
48,158,0,3.737168142,6.81758241758,91.0,38.9171974522,10.0
52,162,0,3.839166667,4.81761363636,176.0,39.1719745223,74.0
58,184,0,4.100019608,5.38878504673,107.0,40.008783487,12.0
60,186,1,3.494115385,12.431884058,69.0,40.0966183575,59.0
66,198,0,6.432321429,3.2,3.0,40.6236275801,2.0
72,216,0,4.553765743,13.6406779661,177.0,39.5608947804,6.0
74,220,3,3.472128514,6.50609756098,82.0,39.7265948633,3.0
76,224,0,3.391273585,6.31379310345,29.0,40.057995029,2.0
78,230,0,3.048059441,5.03457912458,297.0,40.347970174,7.0
80,232,1,4.488761905,7.005,134.0,40.4308202154,4.0
82,236,0,4.094965035,7.61215469613,181.0,40.5965202983,2.0
84,238,1,4.914400826,6.68513513514,148.0,40.7622203811,80.0
88,254,0,3.744497908,7.80452173913,115.0,76.902173913,13.0
92,266,0,3.831827957,7.68285714286,21.0,79.0760869565,6.0
94,282,0,5.973156966,12.2130742049,283.0,41.2581344902,24.0
98,294,0,4.300236887,7.6712804878,164.0,57.3101952278,5.0
100,296,2,4.336953846,9.42296610169,118.0,57.3969631236,26.0
106,322,0,4.126658291,6.79175384615,325.0,58.5249457701,9.0
108,330,0,4.635368664,12.3500740741,135.0,58.9587852495,21.0
110,346,0,4.725627803,12.3076433121,157.0,59.6529284165,27.0
112,352,0,3.818089172,7.43826815642,179.0,59.9132321041,6.0
114,354,0,3.527481273,7.29905511811,127.0,60.0,55.0
116,366,0,5.96808,9.20403846154,52.0,60.626029654,2.0
120,372,0,6.513157895,16.5636363636,11.0,94.1261261261,4.0
124,400,0,8.311111111,3.68387096774,31.0,99.6683861459,22.0
128,408,2,5.281764706,3.0,2.0,99.9631540162,11.0
130,412,1,3.384763033,5.18148148148,27.0,58.0364540182,38.0
132,426,0,3.445684755,6.85342723005,213.0,74.0099009901,54.0
134,430,1,3.337994723,12.2261875,160.0,75.0,10.0
136,438,0,4.061657559,9.97931034483,174.0,76.9801980198,44.0
138,440,0,4.260669371,11.1192957746,142.0,77.4752475248,33.0
140,448,0,3.703626374,8.02784482759,116.0,79.4554455446,13.0
142,450,0,5.208460411,14.0565656566,99.0,79.9504950495,11.0
144,470,0,3.63112069,7.98484848485,66.0,84.900990099,21.0
146,476,3,3.84013986,7.68407407407,54.0,86.8811881188,18.0
