,stu_id,class,avg_s,avg_c,mon_count_c,topN,times
0,1,0,5.835606061,7.563235294,68.0,0.0681895669962,
1,8,0,6.145238095,5.0,2.0,99.6815286624,
2,9,0,8.51838565,,,100.0,
3,10,0,4.60897561,11.03636364,22.0,0.0439174352218,
4,11,0,5.46557377,3.713793103,29.0,0.0878348704436,4.0
5,19,0,4.277583333,9.664,65.0,0.726895119418,
6,20,0,5.355335968,10.621875,64.0,36.9678089304,9.0
7,21,0,6.288383838,9.133333333,39.0,39.5638629283,
8,22,1,5.589763636,11.42195122,41.0,61.2720848057,5.0
9,23,2,6.557242063,11.67037037,27.0,76.1130742049,14.0
10,28,1,3.607478261,6.78984375,128.0,79.3286219081,4.0
11,29,0,4.140130435,6.222727273,44.0,79.3992932862,5.0
12,36,0,3.424136364,8.566557377,61.0,80.1766784452,
13,37,0,4.406989247,6.217120419,191.0,80.2826855124,
14,56,0,5.260526316,7.47,10.0,83.5689045936,6.0
15,57,0,4.5,10.45714286,14.0,83.9575971731,
16,62,0,5.328252427,7.864962406,133.0,85.9717314488,1.0
17,63,0,,,,86.2897526502,
18,64,2,4.398911223,6.228070175,57.0,86.8197879859,92.0
19,65,0,4.186040268,8.374634146,41.0,87.2084805654,
20,66,0,4.066214953,9.348148148,81.0,97.6474599386,69.0
21,67,0,4.844444444,8.661578947,190.0,97.6815547221,115.0
22,70,0,5.628771331,8.370588235,119.0,97.9202182066,
23,71,0,4.681136364,6.861904762,42.0,97.9543129901,
24,74,0,3.612622378,5.242408377,191.0,98.2611660416,
25,75,0,3.524457547,4.886976744,215.0,98.3634503921,
26,76,0,5.158682635,10.60221607,361.0,98.5339243096,
27,77,0,3.992567568,13.4732342,269.0,98.7043982271,7.0
28,82,0,3.869185185,8.55,14.0,99.0794408456,5.0
29,83,0,5.123909774,8.935918367,49.0,99.113535629,35.0
30,88,0,4.816510172,9.339344262,122.0,99.4203886805,
31,89,0,5.028625954,9.392857143,84.0,99.659052165,
32,92,1,4.014942263,12.73888889,36.0,99.7613365155,4.0
33,93,1,4.881693989,11.31155556,90.0,99.795431299,
34,98,0,3.081410714,7.398113208,106.0,99.9659052165,3.0
35,99,1,4.856470588,6.334712042,191.0,100.0,25.0
36,112,0,6.889649123,3.9375,8.0,0.324324324324,
37,113,0,6.961111111,12.07142857,7.0,0.36036036036,
38,118,0,5.99047619,,,0.540540540541,6.0
39,119,0,6.622916667,8.354545455,22.0,0.576576576577,5.0
40,138,1,5.876213592,4.116666667,12.0,10.7027027027,
41,139,0,7.154710744,9.715384615,26.0,14.3423423423,
42,142,0,4.682453704,10.2759322,59.0,38.2884418684,34.0
43,143,0,5.10200565,9.205494505,91.0,38.3225366519,15.0
44,152,0,6.58046875,3.1,1.0,33.949044586,
45,153,0,5.970833333,8.72,10.0,38.7261146497,
46,154,0,3.264117647,4.775,48.0,38.7898089172,3.0
47,155,0,5.341176471,4.165151515,66.0,38.8535031847,
48,158,0,3.737168142,6.817582418,91.0,38.9171974522,10.0
49,159,0,6.436764706,4.0,34.0,38.9808917197,50.0
50,160,1,3.708541667,8.007636364,55.0,39.0445859873,
51,161,1,6.55,2.65,4.0,39.1082802548,
52,162,0,3.839166667,4.817613636,176.0,39.1719745223,74.0
53,163,0,5.579166667,5.308333333,24.0,39.2356687898,6.0
54,172,0,7.115142857,3.342857143,21.0,39.8089171975,
55,173,0,14.3,8.533333333,6.0,39.872611465,
56,178,0,6.740484848,0.321428571,7.0,40.1910828025,
