stu_id,class,avg_s,avg_c,mon_count_c,topN,times,left_money_avg,avg_ling_x,ling_count_x,ling_sum_x,avg_water,water_count,water_sum,avg_ling_y,ling_count_y,ling_sum_y,left_money_max
1,0,5.835606061,7.563235294,68.0,0.0681895669962,0.0,102.412043478,0.424528301887,53.0,22.5,1.70493589744,156.0,265.97,0.962307692308,26.0,25.02,302.41
8,0,6.145238095,5.0,2.0,99.6815286624,0.0,88.5990526316,0.865869565217,46.0,39.83,2.88868639053,845.0,2440.94,0.75,6.0,4.5,231.26
10,0,4.60897561,11.03636364,22.0,0.0439174352218,0.0,62.2012573443,1.16991869919,123.0,143.9,2.59633217993,289.0,750.34,1.92235294118,34.0,65.36,210.74
11,0,5.46557377,3.713793103,29.0,0.0878348704436,4.0,81.4957959641,1.10945945946,148.0,164.2,2.20477434679,421.0,928.21,1.54,6.0,9.24,248.55
19,0,4.277583333,9.664,65.0,0.726895119418,0.0,70.9523443223,3.725,4.0,14.9,5.63170212766,47.0,264.69,0.0,0.0,0.0,235.76
20,0,5.355335968,10.621875,64.0,36.9678089304,9.0,53.3222038981,0.811904761905,42.0,34.1,4.14710059172,169.0,700.86,1.63333333333,3.0,4.9,206.32
21,0,6.288383838,9.133333333,39.0,39.5638629283,0.0,58.7431060606,1.18181818182,11.0,13.0,7.39769230769,39.0,288.51,0.0,0.0,0.0,137.22
22,1,5.589763636,11.42195122,41.0,61.2720848057,5.0,262.687820928,2.60952380952,21.0,54.8,4.50878378378,222.0,1000.95,1.845,4.0,7.38,619.62
23,2,6.557242063,11.67037037,27.0,76.1130742049,14.0,221.993493151,2.8275,40.0,113.1,4.31080321285,249.0,1073.39,0.852,5.0,4.26,600.55
28,1,3.607478261,6.78984375,128.0,79.3286219081,4.0,46.5055751174,2.9375,16.0,47.0,2.89676136364,176.0,509.83,1.026,10.0,10.26,117.37
29,0,4.140130435,6.222727273,44.0,79.3992932862,5.0,89.7154819277,2.06666666667,12.0,24.8,3.18821428571,56.0,178.54,3.6,3.0,10.8,306.15
36,0,3.424136364,8.566557377,61.0,80.1766784452,0.0,68.9157980823,0.8489,100.0,84.89,2.43533898305,472.0,1149.48,0.357674418605,86.0,30.76,232.37
37,0,4.406989247,6.217120419,191.0,80.2826855124,0.0,93.8931953743,1.94905660377,53.0,103.3,2.50156862745,510.0,1275.8,1.65818181818,22.0,36.48,269.75
56,0,5.260526316,7.47,10.0,83.5689045936,6.0,94.1394186047,0.0,0.0,0.0,3.7375,40.0,149.5,0.0,0.0,0.0,301.04
57,0,4.5,10.45714286,14.0,83.9575971731,0.0,65.3870588235,0.6,1.0,0.6,8.93333333333,9.0,80.4,3.6,1.0,3.6,205.64
62,0,5.328252427,7.864962406,133.0,85.9717314488,1.0,100.256778761,1.08407407407,54.0,58.54,4.77512195122,41.0,195.78,0.186382978723,47.0,8.76,224.58
64,2,4.398911223,6.228070175,57.0,86.8197879859,92.0,86.1290273038,1.34172413793,58.0,77.82,2.7506557377,305.0,838.95,1.28352941176,34.0,43.64,224.71
65,0,4.186040268,8.374634146,41.0,87.2084805654,0.0,101.037523585,4.58461538462,13.0,59.6,3.00554216867,166.0,498.92,1.02666666667,27.0,27.72,241.93
66,0,4.066214953,9.348148148,81.0,97.6474599386,69.0,48.1836889819,0.730263157895,304.0,222.0,2.08935742972,498.0,1040.5,0.44,3.0,1.32,132.9
67,0,4.844444444,8.661578947,190.0,97.6815547221,115.0,56.9118872017,0.89696969697,264.0,236.8,1.50810747664,428.0,645.47,0.0,0.0,0.0,274.74
70,0,5.628771331,8.370588235,119.0,97.9202182066,0.0,47.790263789,0.763157894737,76.0,58.0,4.52286764706,136.0,615.11,0.906666666667,27.0,24.48,111.83
71,0,4.681136364,6.861904762,42.0,97.9543129901,0.0,43.1293367347,1.30666666667,30.0,39.2,1.96,51.0,99.96,2.86153846154,13.0,37.2,113.17
74,0,3.612622378,5.242408377,191.0,98.2611660416,0.0,47.5013907285,1.15833333333,12.0,13.9,2.62311111111,225.0,590.2,0.6744,25.0,16.86,201.7
75,0,3.524457547,4.886976744,215.0,98.3634503921,0.0,56.1552360775,1.15363128492,179.0,206.5,2.7500248139,403.0,1108.26,0.0,0.0,0.0,262.44
76,0,5.158682635,10.60221607,361.0,98.5339243096,0.0,163.949305414,0.754545454545,44.0,33.2,0.838838951311,267.0,223.97,1.47142857143,21.0,30.9,611.66
77,0,3.992567568,13.4732342,269.0,98.7043982271,7.0,194.169135802,0.861538461538,91.0,78.4,2.03833333333,84.0,171.22,0.976363636364,11.0,10.74,556.87
82,0,3.869185185,8.55,14.0,99.0794408456,5.0,54.4390166028,0.965,86.0,82.99,1.80669201521,263.0,475.16,0.0,0.0,0.0,202.0
83,0,5.123909774,8.935918367,49.0,99.113535629,35.0,77.3216363636,1.10526315789,57.0,63.0,3.39355421687,166.0,563.33,0.75,10.0,7.5,244.12
