stu_id,day,time
20,-60660,9
22,-48945,5
28,-2813,4
32,-11013,20
38,-89850,33
48,-29376,25
56,-59096,6
60,-38688,4
62,-9678,1
64,-71970,92
66,-243446,69
82,-48468,5
92,-39196,4
96,-269181,34
98,-19964,3
104,-119765,12
108,-111007,31
116,-129574,40
118,-1134,6
136,-32022,6
142,-144064,34
146,-149189,15
154,-11346,3
158,-4886,10
162,-310692,74
166,-576796,117
184,-71707,12
186,-24311,59
198,-19992,2
200,-68018,7
202,-1557,11
204,-1289,11
214,-11351,3
216,-20852,6
218,-177327,78
220,-29646,3
224,-596,2
230,-21856,7
232,-19914,4
236,-19968,2
238,-475919,80
250,-10454,3
254,-25537,13
260,-3978,6
266,-4710,6
268,-191412,26
270,-116942,12
272,-582673,110
276,-12909,7
278,-49282,21
282,-25548,24
290,-630972,107
294,-3960,5
296,-169967,26
298,-476990,97
304,-29975,3
308,-195813,39
310,-2124,4
318,-197856,20
320,-300936,138
322,-41834,9
324,-24497,14
330,-12393,21
344,-2606,5
346,-107508,27
348,-29673,3
352,-3450,6
354,-271522,55
366,-1164,2
372,-1884,4
376,-446250,45
384,-11704,15
386,-6319,22
388,-40924,7
390,-6756,12
394,-41276,7
396,-790,2
398,-7472,11
400,-7426,22
404,-21016,5
408,-53061,11
412,-214657,38
418,-138048,38
424,-469883,117
426,-198381,54
430,-5218,10
438,-179590,44
440,-186587,33
442,-129836,55
444,-41683,12
446,-21073,4
448,-41281,13
450,-41229,11
452,-510616,85
454,-881651,135
460,-154370,38
462,-801711,97
466,-348357,105
468,-30745,7
470,-55018,21
474,-1708,8
476,-17018,18
478,-323596,69
480,-655357,135
484,-11549,23
486,-27583,14
488,-760,4
498,-245479,68
500,-689887,162
502,-796,1
504,-143759,29
512,-49285,28
522,-41723,7
524,-3668,16
526,-215328,39
528,-48945,5
532,-1277,3
534,-51122,7
536,-69979,7
544,-19982,2
552,-310386,53
558,-2770,4
564,-20950,4
566,-155601,29
570,-48647,72
572,-9985,1
574,-49965,5
576,-7149,9
578,-35529,15
580,-19740,4
582,-39184,4
584,-51496,12
586,-148368,17
592,-19958,2
598,-93197,16
602,-51055,7
604,-10000,1
606,-9993,1
608,-196842,36
610,-4050,6
612,-218594,55
616,-19552,2
618,-35352,18
620,-53499,27
624,-224718,97
626,-63366,15
630,-262649,119
636,-5732,12
