avg,mon_count,mon_sum,stu_id
4.945114504,131,647.81,0
5.345,150,801.75,2
6.145238095,63,387.15,8
4.60897561,205,944.84,10
6.865625,16,109.85,16
5.355335968,253,1354.9,20
5.589763636,550,3074.37,22
3.607478261,345,1244.58,28
4.11031746,189,776.85,32
4.660501002,499,2325.59,34
3.424136364,880,3013.24,36
4.740586207,290,1374.77,38
4.128201058,756,3120.92,46
3.752111628,1075,4033.52,48
5.260526316,76,399.8,56
4.028021472,652,2626.27,60
5.328252427,206,1097.62,62
4.398911223,597,2626.15,64
4.066214953,428,1740.34,66
5.628771331,293,1649.23,70
4.279757085,247,1057.1,72
3.612622378,572,2066.42,74
5.158682635,167,861.5,76
3.869185185,270,1044.68,82
4.816510172,639,3077.75,88
4.390936709,395,1734.42,90
4.014942263,433,1738.47,92
4.048479167,480,1943.27,96
3.081410714,560,1725.59,98
4.537911877,522,2368.79,100
4.304670051,394,1696.04,102
4.450661626,529,2354.4,104
3.513583333,480,1686.52,108
6.524613003,323,2107.45,110
6.889649123,57,392.71,112
7.564078947,152,1149.74,114
7.440714286,70,520.85,116
5.99047619,84,503.2,118
6.14,55,337.7,120
4.734166667,36,170.43,136
5.876213592,103,605.25,138
7.650632911,79,604.4,140
4.682453704,216,1011.41,142
4.697368421,38,178.5,146
4.857526882,93,451.75,148
6.58046875,64,421.15,152
3.264117647,85,277.45,154
3.737168142,226,844.6,158
3.708541667,240,890.05,160
3.839166667,444,1704.59,162
3.578314425,617,2207.82,166
7.115142857,35,249.03,172
6.740484848,165,1112.18,178
5.618518519,27,151.7,182
4.100019608,510,2091.01,184
3.494115385,520,1816.94,186
5.354978541,233,1247.71,190
5.664705882,34,192.6,192
6.699382716,81,542.65,194
6.432321429,56,360.21,198
4.315703971,277,1195.45,200
6.58253012,83,546.35,202
6.901785714,112,773,204
7.470588235,17,127,206
5.200448549,379,1970.97,212
4.173290323,620,2587.44,214
4.553765743,794,3615.69,216
4.211700405,494,2080.58,218
3.472128514,498,1729.12,220
3.391273585,212,718.95,224
3.65394822,309,1129.07,228
3.048059441,1144,3486.98,230
4.488761905,420,1885.28,232
3.870128205,858,3320.57,234
4.094965035,572,2342.32,236
4.914400826,484,2378.57,238
3.368422619,336,1131.79,244
4.964505119,293,1454.6,250
3.744497908,478,1789.87,254
5.230331126,151,789.78,258
4.321740413,339,1465.07,260
3.831827957,93,356.36,266
4.116563107,515,2120.03,268
6.461807692,260,1680.07,270
5.299233577,274,1451.99,272
3.880627178,287,1113.74,274
3.497307692,390,1363.95,276
3.195950266,563,1799.32,278
5.973156966,567,3386.78,282
3.775536585,410,1547.97,286
4.491071429,588,2640.75,288
3.497303371,267,933.78,290
4.300236887,591,2541.44,294
4.336953846,650,2819.02,296
4.410670391,716,3158.04,298
3.913191489,752,2942.72,300
3.647577855,867,3162.45,304
4.193414634,123,515.79,306
4.233525641,468,1981.29,308
6.1409699,299,1836.15,310
3.695199005,402,1485.47,312
3.716754032,496,1843.51,318
3.621419492,472,1709.31,320
4.126658291,398,1642.41,322
4.506204239,519,2338.72,324
4.564307692,325,1483.4,328
4.635368664,434,2011.75,330
4.01912766,470,1888.99,334
4.49306391,532,2390.31,344
4.725627803,892,4215.26,346
4.961734417,369,1830.88,348
3.818089172,471,1798.32,352
3.527481273,1068,3767.35,354
4.178723404,94,392.8,358
4.041861472,462,1867.34,362
5.96808,250,1492.02,366
4.856116505,103,500.18,368
6.513157895,57,371.25,372
3.925452381,840,3297.38,376
5.365154062,357,1915.36,384
4.619836601,306,1413.67,386
3.775574534,644,2431.47,388
6.556385542,83,544.18,390
6.505434783,46,299.25,394
8.168070175,57,465.58,396
7.873333333,48,377.92,398
8.311111111,9,74.8,400
5.040614035,114,574.63,404
7.646808511,47,359.4,406
5.281764706,17,89.79,408
3.384763033,422,1428.37,412
4.3686,450,1965.87,416
3.816129032,744,2839.2,418
3.578599034,621,2222.31,420
1.974314465,795,1569.58,424
3.445684755,1161,4000.44,426
3.337994723,379,1265.1,430
4.126769231,260,1072.96,432
4.061657559,549,2229.85,438
4.260669371,493,2100.51,440
3.946133333,450,1775.76,442
3.079719101,890,2740.95,444
3.756992188,512,1923.58,446
3.703626374,910,3370.3,448
5.208460411,682,3552.17,450
3.147388633,651,2048.95,452
3.039853837,821,2495.72,454
5.172020202,495,2560.15,460
1.611111111,387,623.5,462
2.271218569,517,1174.22,466
6.354373522,846,5375.8,468
3.63112069,696,2527.26,470
3.826381365,923,3531.75,474
3.84013986,715,2745.7,476
3.892228261,736,2864.68,478
3.94769103,602,2376.51,480
4.792266667,525,2515.94,484
4.793349515,206,987.43,486
4.553168831,385,1752.97,488
6.23450565,708,4414.03,496
3.090874074,675,2086.34,498
2.700832282,793,2141.76,500
4.473405172,232,1037.83,502
5.644012739,314,1772.22,504
5.418477366,729,3950.07,508
4.355483871,279,1215.18,510
4.266326816,716,3054.69,512
4.169566855,531,2214.04,522
6.138457944,428,2627.26,524
3.750709319,719,2696.76,526
4.364323232,495,2160.34,528
5.300619266,436,2311.07,532
3.976423267,808,3212.95,534
4.973201531,784,3898.99,536
3.576921053,380,1359.23,544
4.174740634,694,2897.27,550
4.186766467,668,2796.76,552
3.736433333,600,2241.86,558
5.53565445,573,3171.93,562
2.772853828,862,2390.2,564
3.013268921,621,1871.24,566
4.22606383,752,3178,570
4.102917342,617,2531.5,572
4.693182752,487,2285.58,574
3.692795918,490,1809.47,576
4.723262956,521,2460.82,578
5.597304527,486,2720.29,580
5.648382643,507,2863.73,582
4.366626794,418,1825.25,584
3.627493917,822,2981.8,586
3.966652632,475,1884.16,588
4.632287234,376,1741.74,592
4.249046794,577,2451.7,594
4.722415094,530,2502.88,596
4.110577933,571,2347.14,598
5.443605948,538,2928.66,602
3.13026087,460,1439.92,604
3.680022422,446,1641.29,606
4.170403226,248,1034.26,608
4.191699346,459,1923.99,610
4.779032258,155,740.75,612
4.744444444,36,170.8,614
4.414534314,408,1801.13,616
4.039826255,518,2092.63,618
3.429633174,627,2150.38,620
3.293629139,755,2486.69,624
2.938908046,348,1022.74,626
3.430939431,809,2775.63,630
4.968964401,309,1535.41,634
3.782054329,589,2227.63,636
4.161498772,407,1693.73,640
4.664760602,731,3409.94,642
4.788515625,640,3064.65,646
4.687085828,501,2348.23,648
3.995092879,646,2580.83,650
3.356218837,722,2423.19,654
4.139419014,568,2351.19,658
4.230826709,629,2661.19,662
3.698172185,755,2792.12,664
3.979232143,560,2228.37,668
3.609428105,612,2208.97,674
3.051161616,594,1812.39,678
3.420669344,747,2555.24,680
3.215226629,706,2269.95,682
3.275549264,883,2892.31,684
3.163782696,497,1572.4,686
3.646706587,835,3045,690
5.162044888,802,4139.96,692
3.333543307,762,2540.16,694
3.438243762,1042,3582.65,696
2.902336683,796,2310.26,706
4.526186944,674,3050.65,708
3.42211127,701,2398.9,710
3.783067227,952,3601.48,712
3.927228571,350,1374.53,714
4.41828125,640,2827.7,718
3.649075145,692,2525.16,728
4.242692308,702,2978.37,730
4.258414239,618,2631.7,732
4.778230648,633,3024.62,734
5.164506667,375,1936.69,736
4.400655022,229,1007.75,738
2.882325301,830,2392.33,740
5.468081705,563,3078.53,742
2.893471761,602,1741.87,744
4.169772182,834,3477.59,746
3.770014045,712,2684.25,748
3.375572005,743,2508.05,750
2.462593918,1118,2753.18,754
2.935145005,931,2732.62,756
3.708878924,223,827.08,758
4.506666667,72,324.48,762
4.175322196,419,1749.46,766
4.839776119,268,1297.06,770
5.018300395,253,1269.63,772
4.06012766,470,1908.26,774
3.850074349,807,3107.01,776
4.539197324,598,2714.44,786
4.125083333,480,1980.04,788
3.956884058,690,2730.25,790
4.284763949,233,998.35,796
3.394243281,707,2399.73,798
3.150713202,659,2076.32,800
3.444591503,612,2108.09,802
