stu_id,dep,top,top_
1,9,2,0.068189567
8,6,1565,99.68152866
9,6,1570,100
10,3,1,0.043917435
11,3,2,0.08783487
19,7,7,0.726895119
20,7,356,36.96780893
21,7,381,39.56386293
22,8,1734,61.27208481
23,8,2154,76.1130742
28,8,2245,79.32862191
29,8,2247,79.39929329
36,8,2269,80.17667845
37,8,2272,80.28268551
56,8,2365,83.56890459
57,8,2376,83.95759717
62,8,2433,85.97173145
63,8,2442,86.28975265
64,8,2457,86.81978799
65,8,2468,87.20848057
66,9,2864,97.64745994
67,9,2865,97.68155472
70,9,2872,97.92021821
71,9,2873,97.95431299
74,9,2882,98.26116604
75,9,2885,98.36345039
76,9,2890,98.53392431
77,9,2895,98.70439823
82,9,2906,99.07944085
83,9,2907,99.11353563
88,9,2916,99.42038868
89,9,2923,99.65905217
92,9,2926,99.76133652
93,9,2927,99.7954313
98,9,2932,99.96590522
99,9,2933,100
112,5,9,0.324324324
113,5,10,0.36036036
118,5,15,0.540540541
119,5,16,0.576576577
138,5,297,10.7027027
139,5,398,14.34234234
142,9,1123,38.28844187
143,9,1124,38.32253665
152,6,533,33.94904459
153,6,608,38.72611465
154,6,609,38.78980892
155,6,610,38.85350318
158,6,611,38.91719745
159,6,612,38.98089172
160,6,613,39.04458599
161,6,614,39.10828025
162,6,615,39.17197452
163,6,616,39.23566879
172,6,625,39.8089172
173,6,626,39.87261147
178,6,631,40.1910828
179,6,632,40.25477707
184,3,911,40.00878349
185,3,912,40.05270092
186,3,913,40.09661836
187,3,914,40.14053579
192,3,919,40.36012297
193,3,920,40.4040404
194,3,921,40.44795784
195,3,922,40.49187527
198,3,925,40.62362758
199,3,926,40.66754502
206,3,934,41.0188845
207,3,935,41.06280193
212,4,951,39.3951947
213,4,952,39.43661972
216,4,955,39.56089478
217,4,956,39.6023198
220,4,959,39.72659486
221,4,964,39.93371997
224,4,967,40.05799503
225,4,968,40.09942005
230,4,974,40.34797017
231,4,975,40.38939519
232,4,976,40.43082022
233,4,977,40.47224524
236,4,980,40.5965203
237,4,983,40.72079536
238,4,984,40.76222038
239,4,985,40.8036454
244,4,991,41.05219553
245,4,992,41.09362055
254,1,283,76.90217391
255,1,284,77.17391304
258,1,285,77.44565217
259,1,286,77.7173913
266,1,291,79.07608696
267,1,292,79.34782609
282,19,951,41.25813449
283,19,1001,43.42733189
288,19,1250,54.22993492
289,19,1299,56.35574837
294,19,1321,57.31019523
295,19,1322,57.35357918
296,19,1323,57.39696312
297,19,1324,57.44034707
300,19,1327,57.57049892
301,19,1328,57.61388286
306,19,1333,57.8308026
307,19,1334,57.87418655
322,19,1349,58.52494577
323,19,1350,58.56832972
330,19,1359,58.95878525
331,19,1360,59.0021692
346,19,1375,59.65292842
347,19,1376,59.69631236
352,19,1381,59.9132321
353,19,1382,59.95661605
354,19,1383,60
355,19,1384,60.04338395
366,11,368,60.62602965
367,11,369,60.7907743
368,11,370,60.95551895
369,11,371,61.12026359
372,5,2612,94.12612613
373,5,2623,94.52252252
398,13,2703,99.59469418
399,13,2704,99.63154016
400,13,2705,99.66838615
401,13,2706,99.70523213
406,13,2711,99.88946205
407,13,2712,99.92630803
408,13,2713,99.96315402
409,13,2714,100
412,4,1401,58.03645402
413,4,1402,58.07787904
426,16,299,74.00990099
427,16,300,74.25742574
430,16,303,75
431,16,304,75.24752475
438,16,311,76.98019802
439,16,312,77.22772277
440,16,313,77.47524752
441,16,314,77.72277228
448,16,321,79.45544554
449,16,322,79.7029703
450,16,323,79.95049505
451,16,324,80.1980198
470,16,343,84.9009901
471,16,346,85.64356436
476,16,351,86.88118812
477,16,352,87.12871287
480,16,355,87.87128713
481,16,358,88.61386139
496,16,373,92.32673267
497,16,374,92.57425743
504,8,2304,81.41342756
505,8,2305,81.44876325
508,8,2308,81.55477032
509,8,2309,81.59010601
510,8,2311,81.66077739
511,8,2312,81.69611307
522,8,2322,82.04946996
523,8,2323,82.08480565
524,8,2324,82.12014134
525,8,2325,82.15547703
528,8,2328,82.2614841
529,8,2329,82.29681979
532,8,2333,82.43816254
533,8,2334,82.47349823
534,8,2335,82.50883392
535,8,2336,82.54416961
536,8,2337,82.5795053
537,8,2338,82.61484099
552,8,2357,83.28621908
553,8,2358,83.32155477
564,8,2370,83.74558304
565,8,2371,83.78091873
566,8,2372,83.81625442
567,8,2373,83.85159011
572,8,2379,84.06360424
573,8,2380,84.09893993
576,8,2383,84.204947
577,8,2384,84.24028269
580,8,2388,84.38162544
581,8,2389,84.41696113
584,8,2392,84.5229682
585,8,2393,84.55830389
596,8,2407,85.05300353
597,8,2408,85.08833922
602,8,2414,85.30035336
603,8,2415,85.33568905
606,8,2418,85.44169611
607,8,2419,85.4770318
612,8,2425,85.68904594
613,8,2426,85.72438163
616,8,2429,85.83038869
617,8,2430,85.86572438
624,8,2438,86.14840989
625,8,2439,86.18374558
626,8,2440,86.21908127
627,8,2441,86.25441696
634,8,2447,86.4664311
635,8,2448,86.50176678
636,8,2451,86.60777385
637,8,2452,86.64310954
648,8,2466,87.13780919
649,8,2467,87.17314488
650,8,2469,87.24381625
651,8,2470,87.27915194
658,8,2477,87.52650177
659,8,2478,87.56183746
662,8,2481,87.66784452
663,8,2482,87.70318021
674,8,2493,88.09187279
675,8,2494,88.12720848
680,8,2499,88.30388693
681,8,2500,88.33922261
690,8,2509,88.65724382
691,8,2510,88.69257951
694,8,2513,88.79858657
695,8,2514,88.83392226
696,8,2515,88.86925795
697,8,2516,88.90459364
706,8,2525,89.22261484
707,8,2526,89.25795053
708,8,2527,89.29328622
709,8,2530,89.39929329
712,8,2535,89.57597173
713,8,2536,89.61130742
714,8,2537,89.64664311
715,8,2538,89.6819788
718,8,2541,89.78798587
719,8,2542,89.82332155
732,8,2557,90.35335689
733,8,2558,90.38869258
742,8,2567,90.70671378
743,8,2568,90.74204947
744,8,2569,90.77738516
745,8,2570,90.81272085
746,8,2571,90.84805654
747,8,2572,90.88339223
754,8,2579,91.13074205
755,8,2580,91.16607774
756,8,2581,91.20141343
757,8,2582,91.23674912
762,8,2587,91.41342756
763,8,2588,91.44876325
770,7,596,61.88992731
771,7,597,61.99376947
772,8,2595,91.69611307
773,8,2596,91.73144876
774,8,2597,91.76678445
775,8,2598,91.80212014
786,8,2611,92.2614841
787,8,2612,92.29681979
796,8,2621,92.61484099
797,8,2622,92.65017668
800,8,2625,92.75618375
801,8,2626,92.79151943
802,8,2627,92.82685512
803,8,2628,92.86219081
816,8,2643,93.39222615
817,8,2644,93.42756184
820,8,2647,93.5335689
821,8,2648,93.56890459
822,8,2649,93.60424028
823,8,2650,93.63957597
824,8,2651,93.67491166
825,8,2652,93.71024735
826,8,2653,93.74558304
827,8,2656,93.85159011
840,8,2669,94.31095406
841,8,2670,94.34628975
844,8,2673,94.45229682
845,8,2674,94.48763251
878,8,2709,95.72438163
879,8,2710,95.75971731
882,8,2713,95.86572438
883,8,2714,95.90106007
886,8,2717,96.00706714
887,8,2718,96.04240283
890,8,2721,96.14840989
891,8,2722,96.18374558
894,8,2725,96.28975265
895,8,2726,96.32508834
896,8,2727,96.36042403
897,8,2728,96.39575972
898,8,2729,96.43109541
899,8,2730,96.4664311
900,8,2731,96.50176678
901,8,2732,96.53710247
908,8,2737,96.71378092
909,8,2738,96.74911661
916,8,2745,96.99646643
917,8,2746,97.03180212
928,8,2757,97.4204947
929,8,2758,97.45583039
932,8,2761,97.56183746
933,8,2762,97.59717314
936,8,2765,97.70318021
937,8,2766,97.7385159
940,8,2769,97.84452297
941,8,2770,97.87985866
946,8,2775,98.0565371
947,8,2776,98.09187279
948,8,2777,98.12720848
949,8,2778,98.16254417
958,8,2787,98.48056537
959,8,2788,98.51590106
966,8,2795,98.76325088
967,8,2796,98.79858657
970,8,2799,98.90459364
971,8,2800,98.93992933
988,8,2817,99.54063604
989,8,2818,99.57597173
990,8,2821,99.6819788
991,8,2822,99.71731449
996,8,2827,99.89399293
997,8,2828,99.92932862
998,8,2829,99.96466431
999,8,2830,100
1002,8,5,0.176678445
1003,8,6,0.212014134
1006,8,9,0.318021201
1007,8,10,0.35335689
1010,8,13,0.459363958
1011,8,14,0.494699647
1012,8,15,0.530035336
1013,8,16,0.565371025
1016,8,19,0.671378092
1017,8,20,0.706713781
1020,8,23,0.812720848
1021,8,24,0.848056537
1024,8,27,0.954063604
1025,8,28,0.989399293
1030,8,33,1.166077739
1031,8,34,1.201413428
1036,8,39,1.378091873
1037,8,40,1.413427562
1040,8,43,1.519434629
1041,8,44,1.554770318
1050,8,53,1.872791519
1051,8,54,1.908127208
1054,8,57,2.014134276
1055,8,58,2.049469965
1070,8,71,2.508833922
1071,8,72,2.544169611
1082,8,83,2.932862191
1083,8,84,2.96819788
1084,8,85,3.003533569
1085,8,86,3.038869258
1098,8,99,3.498233216
1099,8,100,3.533568905
1102,8,103,3.639575972
1103,8,104,3.674911661
1108,8,107,3.780918728
1109,8,108,3.816254417
1110,8,109,3.851590106
1111,8,110,3.886925795
1118,8,115,4.06360424
1119,8,116,4.098939929
1124,8,133,4.699646643
1125,8,134,4.734982332
1132,8,147,5.19434629
1133,8,158,5.583038869
1136,8,191,6.749116608
1137,8,200,7.067137809
1138,8,211,7.455830389
1139,8,222,7.844522968
1142,8,253,8.939929329
1143,8,264,9.328621908
1154,8,385,13.60424028
1155,8,396,13.99293286
1170,8,561,19.82332155
1171,8,572,20.21201413
1172,8,583,20.60070671
1173,8,594,20.98939929
1174,8,605,21.37809187
1175,8,616,21.76678445
1182,8,691,24.41696113
1183,8,702,24.80565371
1184,8,713,25.19434629
1185,8,724,25.58303887
1186,8,735,25.97173145
1187,8,746,26.36042403
1192,8,801,28.30388693
1193,8,812,28.69257951
1196,8,845,29.85865724
1197,8,856,30.24734982
1200,8,889,31.41342756
1201,8,900,31.80212014
1202,8,911,32.19081272
1203,8,922,32.5795053
1218,8,1085,38.33922261
1219,8,1096,38.72791519
1222,8,1129,39.89399293
1223,8,1140,40.28268551
1226,16,101,25
1227,16,102,25.24752475
1228,8,1191,42.08480565
1229,8,1202,42.47349823
